,Park Facility Name,SIGNNAME
0,Ruppert Park,Ruppert Park
82,Prospect Park,Prospect Park
1012,Tappen Park,Tappen Park
1038,Boerum Park,Boerum Park
1073,Forest Park - Sobelsohn Park,Forest Park
1111,Tompkins Square Park,Tompkins Square Park
1514,Central Park,Central Park
4001,Pelham Bay Park,Pelham Bay Park
4260,Park Slope Playground,Park Slope Playground
4354,Macneil Park,Macneil Park
4462,Van Cortlandt Classic Playground,
4522,Carroll Park,Carroll Park
4597,Star Spangled Playground,Star Spangled Playground
4615,Captain Rivera Playground,Captain Rivera Playground
4624,Kissena Park,Kissena Park
4825,Golf Course - Clearview Park,
4835,Lyons Square Playground,Lyons Square Playground
4846,Astoria Park,Astoria Park
5189,Jesse Owens Playground,Jesse Owens Playground
5214,John Jay Park,John Jay Park
5410,Randall's Island Park,Randall's Island Park
5435,Harlem River Park,Harlem River Park
5995,Recreation Center - Thomas Jefferson,
6030,Clason Point Park,
6037,Fermi Playground,Fermi Playground
6042,Central Park - Belvedere Castle Turtle Pond and Shakespeare Garden,
6109,Abingdon Square,Abingdon Square
6137,Recreation Center - Brownsville,
6207,Brooklyn Bridge Park,Brooklyn Bridge Park
6357,St James Park,
6416,Recreation Center - Asser Levy,
6522,Recreation Center - Hamilton Fish,
6555,Jamie Campiz Playground,
6608,Drumgoole Tot Lot Playground,
6611,Carl Schurz Park,Carl Schurz Park
6802,Pelham Bay Park - Playground For All Children,
6817,Cabbell Park,Cabbell Park
6824,Vesuvio Playground,Vesuvio Playground
6894,Happy Warrior Playground,Happy Warrior Playground
6936,St Nicholas Park,
7209,Beach - Manhattan,Manhattan Beach
7293,Colgate Close,Colgate Close
7304,Hudson River Park,Hudson River Park
7788,Prall's Island Bird Haven,
7789,Alley Pond Park,Alley Pond Park
8012,Orchard Beach Park - Nature Center,
8026,William Sheridan Playground,William Sheridan Playground
8060,Riverside Park,Riverside Park
10432,Silent Springs Playground,
10443,Staten Island Greenbelt,
10448,Van Cortlandt Park,Van Cortlandt Park
10810,Elmhurst Park,Elmhurst Park
10821,St Mary's Park,St Mary's Park
10881,Southern Fields,Southern Fields
10902,Hoffman Park,Hoffman Park
10945,Shore Road Park,
11036,Pomonok Playground - PS 201,
11048,Joyce Kilmer Park,Joyce Kilmer Park
11163,Decatur Playground,Decatur Playground
11191,Dimattina Playground,Dimattina Playground
11283,Riverside Park - Baseball Fields,
11320,Clawson Playground - PS 50,
11335,Irving Square Park,Irving Square Park
11384,Recreation Center - Roy Wilkins,
11474,Pool - Hansborough,
11508,Devoe Park,Devoe Park
11589,Recreation Center - Al Oerter,
11680,Coney Island Beach and Boardwalk,
11717,Alley Pond Park - Oakland Lake,
11788,Fort Tryon Park,Fort Tryon Park
12076,Rockaway Beach Boardwalk,Rockaway Beach Boardwalk
12830,Brookville Park,Brookville Park
12969,Flushing Meadows and Corona Park,
13082,Heckscher Playground,Heckscher Playground
13094,Kissena Park - 160 St Playground,
13147,Asphalt Green,Asphalt Green
13185,Columbus Park Playground,
13328,Theodore Roosevelt Park,Theodore Roosevelt Park
13406,James Madison Plaza,James Madison Plaza
13412,J Hood Wright Park,
13559,J J Byrne Memorial Park,
13657,Springfield Park,Springfield Park
13720,Hunter's Point Park,
13755,Woodtree Playground,Woodtree Playground
13789,Cloves Lake Park - WWII Veterans War Memorial Ice Skating Rink,
13931,Cooper Park,Cooper Park
14052,Astoria Park - Charybdis Playground,
14140,Staten Island Greenbelt Park - Amundsen Trail,
14153,Flushing Meadows Corona Park,Flushing Meadows Corona Park
14875,Willowbrook Park,Willowbrook Park
14983,Central Park - 79th Street Yard and Summit Rock,
15071,Alley Athletic Playground,Alley Athletic Playground
15075,Fort Totten Park,Fort Totten Park
15118,Beach - Orchard,
15288,Westerleigh Park,Westerleigh Park
15302,Mafera Park,Mafera Park
15335,ABC Playground,ABC Playground
15356,Morningside Park,Morningside Park
15786,Little Bay Park,Little Bay Park
15906,Washington Square Park,Washington Square Park
16267,Marine Park - Salt Marsh Nature Center,
16335,Crotona Park,Crotona Park
16550,Isham Park,Isham Park
16754,Soundview Park,Soundview Park
16891,Greenwood Playground,Greenwood Playground
16968,Forest Park,Forest Park
17367,Louis Pasteur Park,Louis Pasteur Park
17398,Haffen Park,Haffen Park
17449,Kissena Corridor East,
17519,Riverside Park - Claremont Playground,
17544,Poe Park,Poe Park
17584,Mercer Playground,Mercer Playground
17593,Recreation Center - Hansborough,
17653,Beach - Rockaway,
17721,West 186th St Basketball Court,
17726,Cadman Plaza Park,Cadman Plaza Park
17898,Riverside Park - River Run Playground,
18026,Mclaughlin Park,
18063,John Paul Jones Park,John Paul Jones Park
18087,Pool - Wagner,
18100,Sunset Park,Sunset Park
18420,Col David Marcus Playground,
