,cleanName,NAME,Type,valid,parkDistrict,lat,lon
0,geo soilan park - battery park city,battery park city,other,av,M-01,-74.0168929937,40.7118815493
1,geo soilan park - battery park city,battery park city,other,av,M-01,-74.0168904773,40.7127192927
2,brookville park,brookville park,park_direct,av,Q-13,-73.7456419382,40.6595395263
3,highland park,highland park,park_direct,av,B-05,-73.8866712392,40.6849804908
4,highland park,highland park,park_direct,av,Q-05,-73.8883532926,40.6877242132
5,highland park,highland park,park_direct,av,B-05,-73.8866712392,40.6849804908
6,highland park,highland park,park_direct,av,Q-05,-73.8883532926,40.6877242132
7,prospect park - east parade grounds,prospect park,empiric,av,B-19,-73.9696822786,40.6613534409
8,central park - east 96th street playground,central park,empiric,av,M-13,-73.9655584012,40.7824838384
9,washington hall park,washington hall park,park_direct,av,B-02,-73.9667850357,40.6953430231
10,callahan-kelly playground,callahan-kelly playground,park_direct,av,B-16,-73.9053141692,40.6783597478
11,william h seward park,seward park,other,v,M-03,-73.9892281589,40.7147901269
12,col david marcus playground,col david marcus mem playground,pgs,av,B-12,-73.9696,40.6097
13,mckinley park,mckinley park,park_direct,av,B-10,-74.0165968223,40.6268645634
14,dean playground,dean playground,park_direct,av,B-08,-73.9731873002,40.6808793882
15,martinez playground,martinez playground,park_direct,av,B-01,-73.9446026723,40.7090721796
16,mccarren park - vincent v abate playground,vincent v abate playground,pgs,av,B-01,-73.9498,40.7213
17,doughboy plaza,doughboy plaza,park_direct,av,Q-02,-73.9090288264,40.7464890906
18,carroll park,carroll park,park_direct,av,B-06,-73.9954745954,40.681098548
19,forest park - giovannelli playground,forest park,empiric,av,Q-16,-73.853002977,40.7020526074
20,triborough bridge playground b,triborough bridge playground b,park_direct,av,Q-01,-73.9230711428,40.7746188949
21,st catherine's park,st. catherine's park,other,av,M-08,-73.9587213702,40.7651944082
22,greene playground,greene playground,park_direct,av,B-02,-73.965903082,40.6861903012
23,brizzi playground,brizzi playground,park_direct,av,B-12,-73.9946487268,40.64241753
24,dongan playground,dongan playground,park_direct,av,R-02,-74.0894286853,40.5826838904
25,mafera park,mafera park,park_direct,av,Q-05,-73.8912328683,40.7072132287
26,bedford playground,bedford playground,park_direct,av,B-01,-73.9638701253,40.7082873075
27,harold l ickes playground,harold ickes playground,pgs,av,B-06,-74.0059,40.6825
28,sedgwick playground,sedgwick playground,park_direct,av,X-05,-73.9233881364,40.8457016182
29,central park,central park,park_direct,av,M-13,-73.9655584012,40.7824838384
30,hoover manton playground,manton playground,pgs,av,Q-08,-73.8216,40.7119
31,ewen park,ewen park,park_direct,av,X-08,-73.9100205699,40.8821912038
32,abingdon square,abingdon square,park_direct,av,M-02,-74.005427254,40.7373354669
33,mccarren park,mccarren park,park_direct,av,B-01,-73.9518237858,40.7208770305
34,carl schurz park,carl schurz park,park_direct,av,M-08,-73.9435002243,40.7751397437
