,cleanName,NAME,Type,valid,parkDistrict_x,parkDistrict_y,geometry
0,geo soilan park - battery park city,battery park city,other,av,,M-01,POINT (-74.01689299366825 40.71188154925514)
1,geo soilan park - battery park city,battery park city,other,av,,M-01,POINT (-74.01689047726609 40.71271929265585)
2,brookville park,brookville park,park_direct,av,M-12,Q-13,POINT (-73.74564193821398 40.65953952630677)
3,highland park,highland park,park_direct,av,B-07,B-05,POINT (-73.88667123921616 40.68498049079619)
4,highland park,highland park,park_direct,av,B-07,Q-05,POINT (-73.88835329258271 40.68772421316439)
5,highland park,highland park,park_direct,av,B-01,B-05,POINT (-73.88667123921616 40.68498049079619)
6,highland park,highland park,park_direct,av,B-01,Q-05,POINT (-73.88835329258271 40.68772421316439)
7,prospect park - east parade grounds,prospect park,empiric,av,,B-19,POINT (-73.96968227860212 40.66135344094496)
8,central park - east 96th street playground,central park,empiric,av,,M-13,POINT (-73.96555840117853 40.78248383838978)
9,washington hall park,washington hall park,park_direct,av,,B-02,POINT (-73.96678503573605 40.69534302308141)
10,callahan-kelly playground,callahan-kelly playground,park_direct,av,,B-16,POINT (-73.90531416920241 40.67835974777073)
11,william h seward park,seward park,other,v,,M-03,POINT (-73.98922815891096 40.71479012686549)
12,col david marcus playground,col david marcus mem playground,pgs,av,,B-12,POINT (-73.9696 40.60969999999984)
13,mckinley park,mckinley park,park_direct,av,,B-10,POINT (-74.01659682233908 40.62686456338918)
14,dean playground,dean playground,park_direct,av,,B-08,POINT (-73.97318730018758 40.68087938815357)
15,martinez playground,martinez playground,park_direct,av,,B-01,POINT (-73.94460267227741 40.70907217957764)
16,mccarren park - vincent v abate playground,vincent v abate playground,pgs,av,,B-01,POINT (-73.94980000000001 40.72129999999983)
17,doughboy plaza,doughboy plaza,park_direct,av,,Q-02,POINT (-73.90902882636281 40.74648909055749)
18,carroll park,carroll park,park_direct,av,,B-06,POINT (-73.99547459540722 40.68109854797436)
19,forest park - giovannelli playground,forest park,empiric,av,,Q-16,POINT (-73.85300297695302 40.70205260741513)
20,triborough bridge playground b,triborough bridge playground b,park_direct,av,,Q-01,POINT (-73.92307114279586 40.77461889493836)
21,st catherine's park,st. catherine's park,other,av,,M-08,POINT (-73.95872137018137 40.76519440815153)
22,greene playground,greene playground,park_direct,av,,B-02,POINT (-73.96590308196721 40.68619030115082)
23,brizzi playground,brizzi playground,park_direct,av,,B-12,POINT (-73.99464872677078 40.64241753004003)
24,dongan playground,dongan playground,park_direct,av,,R-02,POINT (-74.08942868532966 40.58268389040261)
25,mafera park,mafera park,park_direct,av,,Q-05,POINT (-73.89123286830606 40.70721322867951)
26,bedford playground,bedford playground,park_direct,av,,B-01,POINT (-73.96387012530802 40.70828730747333)
27,harold l ickes playground,harold ickes playground,pgs,av,,B-06,POINT (-74.0059 40.68249999999986)
28,sedgwick playground,sedgwick playground,park_direct,av,,X-05,POINT (-73.92338813643372 40.84570161824013)
29,central park,central park,park_direct,av,,M-13,POINT (-73.96555840117853 40.78248383838978)
30,hoover manton playground,manton playground,pgs,av,,Q-08,POINT (-73.8216 40.71189999999985)
31,ewen park,ewen park,park_direct,av,,X-08,POINT (-73.91002056986518 40.8821912037922)
32,abingdon square,abingdon square,park_direct,av,,M-02,POINT (-74.00542725399082 40.73733546692627)
33,mccarren park,mccarren park,park_direct,av,,B-01,POINT (-73.95182378580429 40.72087703051036)
34,carl schurz park,carl schurz park,park_direct,av,,M-08,POINT (-73.94350022432138 40.77513974372716)
35,sunset park,sunset park,park_direct,av,,B-07,POINT (-74.00374343756161 40.64797628557326)
36,emerald playground - ps 200,emerald playground,pgs,v,,Q-08,POINT (-73.80589999999999 40.73109999999983)
37,roberto clemente ballfield,roberto clemente ballfield,park_direct,av,,B-01,POINT (-73.96766899401376 40.70635313618927)
38,louis j valentino jr park and pier,valentino pier,other,v,,B-06,POINT (-74.01879300044233 40.67832604240846)
39,doctor gertrude b kelly playground,dr gertrude b kelly playground,pgs,av,,M-04,POINT (-74.002 40.74169999999986)
40,prospect park - grand army plaza,prospect park,empiric,av,,B-19,POINT (-73.96968227860212 40.66135344094496)
41,bryant park,bryant park,park_direct,av,,M-05,POINT (-73.98296372400347 40.75349664785227)
42,south oxford park,south oxford park,park_direct,av,,B-02,POINT (-73.97246702422423 40.68374820861892)
43,marcy park south,marcy park south,park_direct,av,,B-01,POINT (-73.95804176978731 40.70750270980052)
44,leif ericson park,leif ericson park,park_direct,av,,B-10,POINT (-74.01595864038777 40.63333964414873)
45,hoffman park,hoffman park,park_direct,av,,Q-04,POINT (-73.8721221579659 40.73280180411435)
46,hells kitchen park,hell's kitchen park,other,av,,M-04,POINT (-73.99258337165074 40.76296817818857)
47,mt prospect park,prospect park,empiric,av,,B-19,POINT (-73.96968227860212 40.66135344094496)
48,may matthews playground,may matthews playground,pgs,av,,M-04,POINT (-73.9927 40.76139999999984)
49,cuyler gore playground,cuyler gore,pgs,av,,B-02,POINT (-73.9722 40.68569999999983)
50,chelsea park,chelsea park,park_direct,av,,M-04,POINT (-74.00072825751178 40.74994164793669)
51,minetta playground,minetta playground,park_direct,av,,M-02,POINT (-74.00132451483849 40.73068169735608)
52,frontera park,frontera park,park_direct,av,,Q-05,POINT (-73.89537079620789 40.72467606204239)
53,j j byrne memorial park,police officer edward byrne park,other,v,,Q-10,POINT (-73.80744201321536 40.66733919107867)
54,terrapin playground - jhs 51,terrapin playground,pgs,av,,B-06,POINT (-73.9855 40.67299999999983)
55,jamaica playground - ps 40,jamaica playground (ps 40),pgs,av,,Q-12,POINT (-73.791 40.69319999999984)
56,robert moses playground,robert moses playground,park_direct,av,,M-06,POINT (-73.96932982702845 40.7481547402765)
57,hoyt playground,hoyt playground,park_direct,av,,Q-01,POINT (-73.91721350106016 40.77158192049947)
58,hancock playground,hancock playground,pgs,av,,B-03,POINT (-73.9547 40.68239999999984)
59,sherman creek park,sherman creek,other,av,,M-12,POINT (-73.92138259289399 40.85821329124715)
60,kolbert park,kolbert playground,other,v,,B-14,POINT (-73.95800759851042 40.62007558904138)
61,grand army plaza,grand army plaza,park_direct,av,,M-05,POINT (-73.97354731250176 40.76413499374387)
62,grand army plaza,grand army plaza,park_direct,av,,B-19,POINT (-73.97012912275474 40.67394316661181)
63,grand army plaza,grand army plaza,park_direct,av,,M-05,POINT (-73.97354731250176 40.76413499374387)
64,grand army plaza,grand army plaza,park_direct,av,,B-19,POINT (-73.97012912275474 40.67394316661181)
65,cunningham park,cunningham park,park_direct,av,,Q-08,POINT (-73.76880902302754 40.73378883311154)
66,isham park,isham park,park_direct,av,,M-12,POINT (-73.91968464133949 40.87065795714806)
67,peter's field,peter's field,park_direct,av,,M-06,POINT (-73.98157656358032 40.73610997912837)
68,hero park,hero park,park_direct,av,,R-01,POINT (-74.08807040612371 40.63027129036046)
69,morningside park,morningside park,park_direct,av,,M-09,POINT (-73.9583797726447 40.80576045050179)
70,kissena park,kissena park,park_direct,av,,Q-07,POINT (-73.80482860298592 40.74534639485397)
71,west playground,west playground,park_direct,av,,B-13,POINT (-73.97007084680666 40.58708392558244)
72,bath beach playground,bath beach playground,pgs,av,,B-11,POINT (-74.0111 40.60249999999984)
73,flushing fields,flushing fields,park_direct,av,,Q-07,POINT (-73.81666544276268 40.77461674771963)
74,thomas boyland park,thomas boyland park,park_direct,av,,B-04,POINT (-73.90754695519651 40.68174274128699)
75,juniper valley park,juniper valley park,park_direct,av,,Q-05,POINT (-73.88042524868251 40.72018377357064)
76,thomas jefferson park,thomas jefferson park,park_direct,av,,M-11,POINT (-73.93559005037298 40.79320242385234)
77,fort tryon park,fort tryon park,park_direct,av,,M-12,POINT (-73.93220398778331 40.86235958420333)
78,mary o'connor playground,mary o'connor playground,park_direct,av,,M-06,POINT (-73.97079251676085 40.74954580528949)
79,queens valley playground - ps 164,queens valley playground,pgs,av,,Q-08,POINT (-73.8237 40.72189999999984)
80,sumner playground - ps 59,sumner playground,pgs,av,,B-03,POINT (-73.94280000000001 40.69719999999982)
81,alice kornegay,alice kornegay triangle,other,av,,M-11,POINT (-73.93531626517198 40.80641199404444)
82,tompkins square park,tompkins square park,park_direct,av,,M-03,POINT (-73.98171294109304 40.72645206138154)
83,recreation center - thomas jefferson,thomas jefferson park,other,v,,M-11,POINT (-73.93559005037298 40.79320242385234)
84,coffey park,coffey park,park_direct,av,,B-06,POINT (-74.00847184914474 40.67765875729337)
85,beanstalk playground,beanstalk playground,park_direct,av,,X-05,POINT (-73.91674841100942 40.85381451187033)
86,riverside park - claremont playground,claremont,pgs,av,,M-14,POINT (-73.96210000000001 40.81499999999985)
