parkDistrict,2010,2011,2012,2013,2014,2015
B-01,363.0,353.0,374.0,397.0,564.0,619.0
B-02,339.0,396.0,282.0,463.0,566.0,614.0
B-03,251.0,252.0,263.0,241.0,270.0,447.0
B-04,59.0,63.0,68.0,53.0,112.0,125.0
B-05,207.0,173.0,170.0,164.0,252.0,282.0
B-06,275.0,217.0,209.0,227.0,298.0,274.0
B-07,222.0,253.0,140.0,213.0,258.0,256.0
B-08,104.0,184.0,122.0,187.0,184.0,194.0
B-09,34.0,60.0,60.0,52.0,70.0,77.0
B-10,238.0,232.0,255.0,227.0,374.0,359.0
B-11,85.0,122.0,181.0,193.0,212.0,209.0
B-12,99.0,68.0,107.0,90.0,123.0,129.0
B-13,326.0,230.0,245.0,310.0,345.0,318.0
B-14,84.0,90.0,52.0,58.0,137.0,103.0
B-15,124.0,148.0,188.0,186.0,256.0,311.0
B-16,86.0,91.0,116.0,115.0,126.0,115.0
B-17,32.0,36.0,41.0,43.0,55.0,72.0
B-18,346.0,398.0,421.0,308.0,371.0,415.0
B-19,352.0,356.0,246.0,345.0,329.0,363.0
M-01,170.0,153.0,175.0,137.0,223.0,268.0
M-02,217.0,209.0,257.0,212.0,238.0,240.0
M-03,446.0,531.0,367.0,498.0,612.0,583.0
M-04,168.0,200.0,138.0,162.0,269.0,244.0
M-05,106.0,105.0,84.0,94.0,157.0,111.0
M-06,177.0,214.0,169.0,156.0,218.0,253.0
M-07,213.0,194.0,188.0,226.0,206.0,223.0
M-08,197.0,258.0,181.0,190.0,232.0,233.0
M-09,268.0,234.0,175.0,173.0,252.0,227.0
M-10,211.0,177.0,157.0,134.0,254.0,304.0
M-11,321.0,326.0,364.0,383.0,440.0,427.0
M-11R,44.0,41.0,42.0,29.0,46.0,42.0
M-12,367.0,353.0,378.0,322.0,480.0,816.0
M-12A,98.0,88.0,107.0,71.0,131.0,136.0
M-13,867.0,580.0,608.0,531.0,757.0,606.0
M-14,732.0,673.0,626.0,476.0,578.0,671.0
M-15,6.0,8.0,7.0,4.0,16.0,8.0
Q-01,297.0,241.0,242.0,255.0,443.0,564.0
Q-02,128.0,95.0,138.0,96.0,220.0,201.0
Q-03,60.0,107.0,98.0,94.0,146.0,160.0
Q-04,56.0,52.0,77.0,97.0,108.0,120.0
Q-05,288.0,217.0,209.0,174.0,285.0,401.0
Q-06,179.0,120.0,83.0,118.0,133.0,166.0
Q-07,327.0,329.0,294.0,360.0,471.0,519.0
Q-08,205.0,165.0,173.0,135.0,241.0,262.0
Q-09,51.0,59.0,58.0,46.0,165.0,97.0
Q-10,92.0,93.0,60.0,92.0,133.0,157.0
Q-11,164.0,259.0,219.0,205.0,257.0,351.0
Q-12,226.0,304.0,236.0,259.0,326.0,329.0
Q-13,153.0,124.0,179.0,138.0,153.0,220.0
Q-14,227.0,229.0,222.0,239.0,224.0,351.0
Q-15,307.0,283.0,273.0,207.0,484.0,462.0
Q-16,154.0,117.0,107.0,101.0,110.0,186.0
Q-7,1.0,3.0,,,,
R-01,251.0,269.0,295.0,304.0,445.0,451.0
R-02,235.0,179.0,181.0,161.0,290.0,296.0
R-03,236.0,236.0,287.0,217.0,280.0,296.0
X-01,111.0,124.0,116.0,99.0,153.0,152.0
X-02,71.0,69.0,56.0,61.0,72.0,109.0
X-03,134.0,110.0,98.0,95.0,141.0,128.0
X-04,303.0,301.0,254.0,258.0,435.0,379.0
X-05,82.0,105.0,85.0,83.0,141.0,146.0
X-06,99.0,85.0,52.0,72.0,99.0,134.0
X-07,145.0,186.0,127.0,181.0,246.0,232.0
X-08,263.0,253.0,205.0,298.0,556.0,537.0
X-09,144.0,106.0,113.0,111.0,165.0,142.0
X-10,74.0,84.0,90.0,100.0,125.0,147.0
X-11,179.0,225.0,144.0,159.0,243.0,256.0
X-12,50.0,75.0,52.0,42.0,61.0,101.0
X-13,178.0,104.0,113.0,111.0,176.0,116.0
X-14,8.0,15.0,17.0,20.0,13.0,17.0
X-15,6.0,4.0,2.0,4.0,15.0,10.0
X-15A,23.0,34.0,40.0,27.0,38.0,62.0
