parkDistrict,2010,2011,2012,2013,2014,2015
B-01,55.0,38.0,72.0,84.0,103.0,79.0
B-02,56.0,41.0,16.0,56.0,66.0,69.0
B-03,53.0,59.0,73.0,52.0,42.0,81.0
B-04,16.0,8.0,19.0,12.0,17.0,18.0
B-05,17.0,10.0,17.0,23.0,41.0,19.0
B-06,32.0,15.0,28.0,42.0,59.0,21.0
B-07,24.0,21.0,15.0,14.0,29.0,26.0
B-08,15.0,9.0,17.0,26.0,30.0,10.0
B-09,3.0,2.0,15.0,6.0,5.0,1.0
B-10,37.0,28.0,43.0,42.0,63.0,61.0
B-11,10.0,38.0,58.0,68.0,45.0,38.0
B-12,7.0,4.0,5.0,7.0,11.0,7.0
B-13,76.0,36.0,30.0,31.0,51.0,49.0
B-14,9.0,12.0,5.0,3.0,7.0,11.0
B-15,13.0,20.0,29.0,5.0,18.0,25.0
B-16,5.0,14.0,21.0,22.0,28.0,36.0
B-17,4.0,5.0,9.0,5.0,6.0,11.0
B-18,75.0,87.0,115.0,49.0,40.0,38.0
B-19,28.0,19.0,23.0,26.0,17.0,45.0
M-01,10.0,12.0,8.0,5.0,14.0,14.0
M-02,16.0,18.0,28.0,15.0,15.0,9.0
M-03,31.0,17.0,26.0,30.0,42.0,79.0
M-04,8.0,12.0,8.0,6.0,8.0,14.0
M-05,4.0,1.0,1.0,2.0,6.0,11.0
M-06,10.0,12.0,14.0,9.0,12.0,7.0
M-07,12.0,14.0,10.0,6.0,9.0,7.0
M-08,18.0,17.0,16.0,23.0,23.0,15.0
M-09,90.0,40.0,42.0,22.0,47.0,38.0
M-10,36.0,29.0,37.0,18.0,48.0,22.0
M-11,41.0,37.0,82.0,65.0,99.0,31.0
M-11R,2.0,1.0,,,,1.0
M-12,21.0,19.0,34.0,22.0,33.0,36.0
M-12A,5.0,2.0,7.0,4.0,9.0,11.0
M-13,16.0,14.0,22.0,20.0,33.0,14.0
M-14,24.0,33.0,41.0,24.0,37.0,35.0
M-15,,,,,,1.0
Q-01,39.0,43.0,65.0,61.0,61.0,122.0
Q-02,19.0,4.0,32.0,10.0,30.0,13.0
Q-03,6.0,6.0,9.0,11.0,11.0,8.0
Q-04,7.0,3.0,16.0,11.0,19.0,12.0
Q-05,31.0,13.0,13.0,12.0,10.0,26.0
Q-06,57.0,13.0,9.0,5.0,7.0,13.0
Q-07,45.0,52.0,47.0,66.0,42.0,85.0
Q-08,34.0,23.0,14.0,14.0,21.0,34.0
Q-09,4.0,4.0,10.0,3.0,15.0,4.0
Q-10,5.0,6.0,8.0,6.0,7.0,7.0
Q-11,19.0,16.0,21.0,16.0,18.0,26.0
Q-12,23.0,55.0,31.0,54.0,56.0,48.0
Q-13,18.0,23.0,29.0,21.0,15.0,8.0
Q-14,73.0,51.0,42.0,28.0,30.0,43.0
Q-15,23.0,8.0,13.0,11.0,30.0,17.0
Q-16,14.0,7.0,6.0,8.0,16.0,6.0
R-01,16.0,16.0,31.0,28.0,29.0,21.0
R-02,34.0,25.0,24.0,30.0,15.0,20.0
R-03,50.0,46.0,53.0,30.0,40.0,55.0
X-01,23.0,18.0,19.0,5.0,15.0,33.0
X-02,9.0,11.0,8.0,13.0,10.0,21.0
X-03,22.0,15.0,10.0,8.0,17.0,19.0
X-04,121.0,43.0,50.0,53.0,94.0,42.0
X-05,14.0,8.0,17.0,12.0,34.0,14.0
X-06,7.0,4.0,3.0,7.0,15.0,11.0
X-07,14.0,43.0,26.0,28.0,39.0,31.0
X-08,37.0,21.0,27.0,52.0,67.0,48.0
X-09,17.0,6.0,12.0,6.0,9.0,17.0
X-10,4.0,5.0,10.0,6.0,9.0,11.0
X-11,11.0,29.0,12.0,10.0,24.0,29.0
X-12,4.0,6.0,2.0,2.0,2.0,9.0
X-13,18.0,7.0,8.0,7.0,9.0,7.0
X-14,1.0,2.0,3.0,,1.0,
X-15,3.0,1.0,,,1.0,
X-15A,6.0,3.0,18.0,4.0,5.0,8.0
