parkDistrict,2010,2011,2012,2013,2014,2015
B-01,299.0,284.0,280.0,311.0,427.0,433.0
B-02,283.0,324.0,211.0,354.0,392.0,413.0
B-03,194.0,220.0,218.0,211.0,188.0,344.0
B-04,48.0,46.0,58.0,39.0,70.0,72.0
B-05,132.0,119.0,112.0,132.0,146.0,152.0
B-06,213.0,153.0,166.0,166.0,213.0,188.0
B-07,130.0,178.0,84.0,170.0,189.0,164.0
B-08,82.0,156.0,94.0,165.0,140.0,145.0
B-09,28.0,55.0,47.0,38.0,45.0,48.0
B-10,187.0,174.0,190.0,175.0,255.0,229.0
B-11,69.0,106.0,155.0,169.0,158.0,123.0
B-12,88.0,59.0,87.0,70.0,81.0,60.0
B-13,279.0,191.0,201.0,272.0,261.0,257.0
B-14,72.0,75.0,37.0,36.0,92.0,67.0
B-15,90.0,106.0,137.0,146.0,150.0,192.0
B-16,64.0,72.0,85.0,100.0,86.0,76.0
B-17,30.0,25.0,29.0,24.0,39.0,37.0
B-18,278.0,303.0,350.0,228.0,242.0,236.0
B-19,194.0,214.0,126.0,134.0,182.0,218.0
M-01,105.0,98.0,81.0,61.0,112.0,106.0
M-02,166.0,163.0,211.0,139.0,153.0,111.0
M-03,370.0,457.0,290.0,384.0,440.0,405.0
M-04,135.0,153.0,102.0,136.0,169.0,108.0
M-05,64.0,64.0,44.0,47.0,70.0,44.0
M-06,123.0,142.0,126.0,106.0,130.0,156.0
M-07,138.0,131.0,130.0,183.0,131.0,147.0
M-08,146.0,217.0,134.0,146.0,173.0,166.0
M-09,200.0,170.0,114.0,117.0,176.0,138.0
M-10,160.0,147.0,121.0,110.0,174.0,225.0
M-11,239.0,242.0,292.0,306.0,324.0,301.0
M-11R,27.0,31.0,33.0,18.0,18.0,14.0
M-12,198.0,197.0,219.0,166.0,261.0,327.0
M-12A,54.0,28.0,35.0,18.0,43.0,71.0
M-13,221.0,204.0,217.0,171.0,223.0,221.0
M-14,392.0,378.0,373.0,275.0,336.0,434.0
M-15,4.0,7.0,7.0,4.0,15.0,7.0
Q-01,236.0,180.0,178.0,204.0,290.0,420.0
Q-02,90.0,67.0,109.0,73.0,145.0,131.0
Q-03,34.0,35.0,34.0,60.0,81.0,72.0
Q-04,50.0,32.0,49.0,64.0,62.0,69.0
Q-05,171.0,107.0,128.0,113.0,151.0,179.0
Q-06,149.0,88.0,58.0,85.0,92.0,91.0
Q-07,214.0,241.0,189.0,282.0,286.0,303.0
Q-08,137.0,128.0,130.0,86.0,135.0,170.0
Q-09,42.0,38.0,44.0,22.0,54.0,37.0
Q-10,61.0,74.0,38.0,67.0,61.0,77.0
Q-11,115.0,187.0,149.0,159.0,155.0,224.0
Q-12,174.0,242.0,171.0,214.0,244.0,243.0
Q-13,112.0,94.0,132.0,99.0,92.0,100.0
Q-14,192.0,189.0,164.0,189.0,136.0,220.0
Q-15,179.0,122.0,121.0,94.0,194.0,267.0
Q-16,82.0,71.0,65.0,59.0,58.0,117.0
Q-7,,2.0,,,,
R-01,158.0,167.0,219.0,205.0,287.0,275.0
R-02,142.0,128.0,108.0,98.0,151.0,140.0
R-03,165.0,185.0,193.0,159.0,192.0,170.0
X-01,66.0,52.0,65.0,47.0,74.0,104.0
X-02,48.0,47.0,40.0,50.0,48.0,76.0
X-03,95.0,76.0,72.0,60.0,96.0,85.0
X-04,232.0,183.0,130.0,164.0,239.0,209.0
X-05,59.0,65.0,57.0,63.0,121.0,100.0
X-06,67.0,60.0,39.0,49.0,49.0,81.0
X-07,88.0,132.0,69.0,113.0,170.0,141.0
X-08,196.0,176.0,156.0,226.0,329.0,337.0
X-09,93.0,57.0,67.0,66.0,94.0,85.0
X-10,39.0,37.0,43.0,30.0,65.0,63.0
X-11,91.0,130.0,78.0,109.0,118.0,123.0
X-12,38.0,49.0,32.0,27.0,36.0,59.0
X-13,109.0,54.0,59.0,50.0,83.0,56.0
X-14,5.0,9.0,12.0,10.0,6.0,10.0
X-15,6.0,4.0,1.0,4.0,5.0,4.0
X-15A,14.0,15.0,29.0,15.0,16.0,37.0
