parkDistrict,2010,2011,2012,2013,2014,2015
B-01,102.0,85.0,93.0,102.0,156.0,131.0
B-02,78.0,78.0,32.0,81.0,137.0,94.0
B-03,61.0,74.0,84.0,71.0,69.0,111.0
B-04,19.0,12.0,21.0,14.0,24.0,23.0
B-05,34.0,24.0,25.0,33.0,50.0,31.0
B-06,60.0,46.0,38.0,53.0,70.0,31.0
B-07,45.0,39.0,18.0,19.0,48.0,36.0
B-08,20.0,12.0,20.0,34.0,41.0,18.0
B-09,6.0,4.0,16.0,9.0,7.0,4.0
B-10,66.0,50.0,55.0,57.0,93.0,86.0
B-11,19.0,47.0,59.0,75.0,59.0,42.0
B-12,19.0,13.0,6.0,10.0,21.0,13.0
B-13,112.0,47.0,41.0,44.0,63.0,61.0
B-14,20.0,23.0,5.0,5.0,18.0,17.0
B-15,16.0,25.0,34.0,10.0,27.0,45.0
B-16,7.0,25.0,26.0,25.0,29.0,43.0
B-17,5.0,7.0,9.0,7.0,9.0,12.0
B-18,100.0,128.0,141.0,64.0,69.0,60.0
B-19,45.0,43.0,29.0,36.0,48.0,61.0
M-01,18.0,17.0,14.0,7.0,49.0,51.0
M-02,25.0,30.0,37.0,25.0,36.0,33.0
M-03,72.0,41.0,41.0,52.0,98.0,109.0
M-04,41.0,43.0,17.0,24.0,38.0,23.0
M-05,23.0,16.0,3.0,5.0,26.0,14.0
M-06,22.0,43.0,25.0,16.0,27.0,21.0
M-07,31.0,35.0,15.0,43.0,35.0,19.0
M-08,26.0,59.0,23.0,28.0,39.0,31.0
M-09,112.0,76.0,48.0,30.0,77.0,49.0
M-10,47.0,36.0,47.0,28.0,65.0,30.0
M-11,61.0,89.0,96.0,77.0,131.0,61.0
M-11R,4.0,4.0,1.0,2.0,1.0,4.0
M-12,54.0,65.0,51.0,48.0,73.0,76.0
M-12A,13.0,9.0,10.0,9.0,21.0,22.0
M-13,26.0,40.0,32.0,35.0,53.0,34.0
M-14,196.0,114.0,75.0,36.0,96.0,83.0
M-15,1.0,1.0,,,1.0,1.0
Q-01,57.0,62.0,81.0,74.0,99.0,149.0
Q-02,29.0,16.0,35.0,20.0,53.0,39.0
Q-03,9.0,8.0,11.0,16.0,22.0,16.0
Q-04,15.0,5.0,16.0,16.0,25.0,19.0
Q-05,49.0,30.0,22.0,28.0,25.0,42.0
Q-06,68.0,22.0,13.0,13.0,18.0,29.0
Q-07,63.0,80.0,62.0,94.0,85.0,109.0
Q-08,50.0,42.0,20.0,19.0,37.0,47.0
Q-09,6.0,13.0,13.0,4.0,19.0,6.0
Q-10,14.0,15.0,11.0,12.0,17.0,15.0
Q-11,35.0,44.0,32.0,37.0,56.0,71.0
Q-12,42.0,81.0,39.0,61.0,75.0,71.0
Q-13,41.0,32.0,31.0,26.0,29.0,14.0
Q-14,84.0,63.0,52.0,39.0,33.0,52.0
Q-15,37.0,26.0,18.0,30.0,55.0,75.0
Q-16,20.0,18.0,8.0,14.0,20.0,15.0
R-01,49.0,50.0,45.0,41.0,56.0,47.0
R-02,42.0,34.0,29.0,40.0,32.0,28.0
R-03,66.0,71.0,64.0,43.0,54.0,71.0
X-01,28.0,29.0,24.0,7.0,23.0,44.0
X-02,11.0,17.0,9.0,15.0,18.0,28.0
X-03,39.0,27.0,12.0,13.0,24.0,27.0
X-04,143.0,92.0,58.0,66.0,123.0,74.0
X-05,23.0,16.0,19.0,16.0,69.0,21.0
X-06,10.0,11.0,4.0,11.0,18.0,19.0
X-07,34.0,61.0,34.0,39.0,81.0,53.0
X-08,57.0,43.0,36.0,78.0,136.0,116.0
X-09,22.0,10.0,13.0,8.0,18.0,27.0
X-10,8.0,7.0,11.0,7.0,20.0,20.0
X-11,18.0,41.0,17.0,26.0,36.0,48.0
X-12,6.0,9.0,3.0,3.0,10.0,16.0
X-13,33.0,12.0,15.0,11.0,19.0,13.0
X-14,2.0,4.0,4.0,,3.0,
X-15,3.0,1.0,,,1.0,1.0
X-15A,7.0,5.0,20.0,4.0,5.0,14.0
