Complaint Type,Descriptor,calls
Violation of Park Rules,Obstructing Public Use,11
Violation of Park Rules,Unlicensed Vendors,11
Violation of Park Rules,BBQ Outside Authorized Area,4
Violation of Park Rules,Unsafe Use of Playground,4
Violation of Park Rules,Biking/Rollerblading off Path,2
Violation of Park Rules,Smoking,2
Violation of Park Rules,Unauthorized Film Shoot,1
Root/Sewer/Sidewalk Condition,Sidewalk Consultation,1
Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,1
Overgrown Tree/Branches,Dead Branches in Tree,2
Overgrown Tree/Branches,Hitting Building,2
Maintenance or Facility,Structure - Outdoors,144
Maintenance or Facility,Garbage or Litter,90
Maintenance or Facility,Grass/Weeds,19
Maintenance or Facility,Structure - Indoors,19
Maintenance or Facility,Hours of Operation,18
Maintenance or Facility,Rodent Sighting,12
Maintenance or Facility,Graffiti or Vandalism,11
Maintenance or Facility,Unsecured Facility,8
Maintenance or Facility,Broken Glass,6
Maintenance or Facility,Snow or Ice,6
Illegal Tree Damage,Branches Damaged,7
Illegal Tree Damage,Trunk Damaged,5
Illegal Tree Damage,Unauthorized Tree Removal,5
Illegal Tree Damage,Roots Damaged,4
Illegal Tree Damage,Bicycle Chained to Tree,3
Illegal Tree Damage,Unauthorized Tree Pruning,2
Dead Tree,Dead/Dying Tree,1
Damaged Tree,Branch or Limb Has Fallen Down,9
Damaged Tree,Tree Leaning/Uprooted,6
Damaged Tree,Entire Tree Has Fallen Down,5
Damaged Tree,Branch Cracked and Will Fall,4
Damaged Tree,Tree Alive - in Poor Condition,4
DPR Internal,Aided/Injury,9
Animal in a Park,Dog Off Leash,19
Animal in a Park,Domestic Strays,7
Animal in a Park,Animal Waste,6
Animal in a Park,Dead Animal,4
Animal in a Park,Wildlife Sighting,3
Animal in a Park,Injured Wildlife,2
Animal in a Park,Removing Wildlife,1
