Complaint Type,Descriptor,calls
Violation of Park Rules,BBQ Outside Authorized Area,72
Violation of Park Rules,Obstructing Public Use,34
Violation of Park Rules,Unlicensed Vendors,12
Violation of Park Rules,Unsafe Use of Playground,10
Violation of Park Rules,Smoking,4
Violation of Park Rules,Unauthorized Posting of Signs,4
Violation of Park Rules,Biking/Rollerblading off Path,2
Violation of Park Rules,Unauthorized Climbing,1
Violation of Park Rules,Unauthorized Film Shoot,1
Overgrown Tree/Branches,Dead Branches in Tree,2
Overgrown Tree/Branches,Hitting Power/Phone Lines,1
Maintenance or Facility,Structure - Outdoors,302
Maintenance or Facility,Garbage or Litter,279
Maintenance or Facility,Snow or Ice,71
Maintenance or Facility,Structure - Indoors,52
Maintenance or Facility,Hours of Operation,48
Maintenance or Facility,Rodent Sighting,44
Maintenance or Facility,Unsecured Facility,43
Maintenance or Facility,Grass/Weeds,34
Maintenance or Facility,Graffiti or Vandalism,23
Maintenance or Facility,Broken Glass,19
Illegal Tree Damage,Branches Damaged,3
Illegal Tree Damage,Trunk Damaged,2
Illegal Tree Damage,Unauthorized Tree Removal,2
Illegal Tree Damage,Bicycle Chained to Tree,1
Illegal Tree Damage,Roots Damaged,1
Illegal Tree Damage,Unauthorized Tree Pruning,1
Dead Tree,Dead/Dying Tree,4
Damaged Tree,Tree Leaning/Uprooted,11
Damaged Tree,Branch Cracked and Will Fall,7
Damaged Tree,Entire Tree Has Fallen Down,7
Damaged Tree,Tree Alive - in Poor Condition,4
Damaged Tree,Branch or Limb Has Fallen Down,3
DPR Internal,Aided/Injury,32
DPR Internal,Property,1
Animal in a Park,Dead Animal,41
Animal in a Park,Dog Off Leash,40
Animal in a Park,Injured Wildlife,34
Animal in a Park,Domestic Strays,32
Animal in a Park,Wildlife Sighting,19
Animal in a Park,Animal Waste,14
Animal in a Park,Removing Wildlife,12
