Complaint Type,Descriptor,calls
Violation of Park Rules,Obstructing Public Use,29
Violation of Park Rules,Smoking,2
Violation of Park Rules,BBQ Outside Authorized Area,1
Violation of Park Rules,Unlicensed Vendors,1
Overgrown Tree/Branches,Dead Branches in Tree,1
Maintenance or Facility,Unsecured Facility,76
Maintenance or Facility,Structure - Outdoors,32
Maintenance or Facility,Structure - Indoors,12
Maintenance or Facility,Graffiti or Vandalism,11
Maintenance or Facility,Garbage or Litter,4
Maintenance or Facility,Hours of Operation,4
Maintenance or Facility,Rodent Sighting,1
Maintenance or Facility,Snow or Ice,1
Illegal Tree Damage,Unauthorized Tree Removal,1
Damaged Tree,Entire Tree Has Fallen Down,7
Damaged Tree,Branch Cracked and Will Fall,6
Damaged Tree,Branch or Limb Has Fallen Down,4
DPR Internal,Aided/Injury,31
DPR Internal,Property,3
DPR Internal,Illegal Dumping,1
DPR Internal,Lost/Missing Person,1
Animal in a Park,Injured Wildlife,7
Animal in a Park,Dead Animal,3
Animal in a Park,Wildlife Sighting,3
Animal in a Park,Dog Off Leash,1
Animal in a Park,Removing Wildlife,1
