Complaint Type,Descriptor,calls
Violation of Park Rules,BBQ Outside Authorized Area,207
Violation of Park Rules,Obstructing Public Use,27
Violation of Park Rules,Unlicensed Vendors,9
Violation of Park Rules,Unsafe Use of Playground,2
Violation of Park Rules,Smoking,1
Violation of Park Rules,Unauthorized Posting of Signs,1
Overgrown Tree/Branches,Blocking Street,2
Maintenance or Facility,Structure - Outdoors,78
Maintenance or Facility,Garbage or Litter,38
Maintenance or Facility,Graffiti or Vandalism,32
Maintenance or Facility,Grass/Weeds,24
Maintenance or Facility,Unsecured Facility,22
Maintenance or Facility,Rodent Sighting,20
Maintenance or Facility,Structure - Indoors,13
Maintenance or Facility,Snow or Ice,11
Maintenance or Facility,Hours of Operation,8
Maintenance or Facility,Broken Glass,3
Illegal Tree Damage,Trunk Damaged,2
Dead Tree,Dead/Dying Tree,2
Damaged Tree,Entire Tree Has Fallen Down,5
Damaged Tree,Branch or Limb Has Fallen Down,3
DPR Internal,Aided/Injury,33
DPR Internal,Locker Break-in/Incident,2
DPR Internal,Property,1
Animal in a Park,Dog Off Leash,25
Animal in a Park,Domestic Strays,25
Animal in a Park,Dead Animal,17
Animal in a Park,Injured Wildlife,11
Animal in a Park,Removing Wildlife,3
Animal in a Park,Wildlife Sighting,3
Animal in a Park,Animal Waste,1
