Complaint Type,Descriptor,calls
Violation of Park Rules,Obstructing Public Use,117
Violation of Park Rules,Unsafe Use of Playground,36
Violation of Park Rules,Smoking,34
Violation of Park Rules,BBQ Outside Authorized Area,24
Violation of Park Rules,Unlicensed Vendors,22
Violation of Park Rules,Biking/Rollerblading off Path,8
Violation of Park Rules,Unauthorized Posting of Signs,6
Violation of Park Rules,Removing Flowers/Plants,3
Violation of Park Rules,Use of Newly Seeded Lawn,3
Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,2
Root/Sewer/Sidewalk Condition,Affecting Sewer or Foundation,1
Overgrown Tree/Branches,Hitting Building,9
Overgrown Tree/Branches,Dead Branches in Tree,8
Overgrown Tree/Branches,Hitting Power/Phone Lines,8
Overgrown Tree/Branches,Blocking Street,1
Maintenance or Facility,Structure - Outdoors,661
Maintenance or Facility,Garbage or Litter,337
Maintenance or Facility,Structure - Indoors,106
Maintenance or Facility,Grass/Weeds,94
Maintenance or Facility,Graffiti or Vandalism,89
Maintenance or Facility,Hours of Operation,57
Maintenance or Facility,Rodent Sighting,55
Maintenance or Facility,Snow or Ice,51
Maintenance or Facility,Unsecured Facility,49
Maintenance or Facility,Broken Glass,16
Illegal Tree Damage,Branches Damaged,25
Illegal Tree Damage,Trunk Damaged,18
Illegal Tree Damage,Roots Damaged,11
Illegal Tree Damage,Unauthorized Tree Removal,10
Illegal Tree Damage,Unauthorized Tree Pruning,2
Illegal Tree Damage,Bicycle Chained to Tree,1
Dead Tree,Dead/Dying Tree,24
Damaged Tree,Branch or Limb Has Fallen Down,43
Damaged Tree,Tree Alive - in Poor Condition,30
Damaged Tree,Branch Cracked and Will Fall,15
Damaged Tree,Entire Tree Has Fallen Down,14
Damaged Tree,Tree Leaning/Uprooted,12
Damaged Tree,Tree Trunk Split,4
DPR Internal,Aided/Injury,44
DPR Internal,Locker Break-in/Incident,2
DPR Internal,Property,2
Animal in a Park,Dog Off Leash,81
Animal in a Park,Injured Wildlife,52
Animal in a Park,Dead Animal,39
Animal in a Park,Removing Wildlife,25
Animal in a Park,Wildlife Sighting,25
Animal in a Park,Animal Waste,13
Animal in a Park,Domestic Strays,11
