Complaint Type,Descriptor,calls
Violation of Park Rules,Obstructing Public Use,101
Violation of Park Rules,Unsafe Use of Playground,18
Violation of Park Rules,Smoking,14
Violation of Park Rules,BBQ Outside Authorized Area,13
Violation of Park Rules,Biking/Rollerblading off Path,10
Violation of Park Rules,Unlicensed Vendors,10
Violation of Park Rules,Unauthorized Posting of Signs,7
Violation of Park Rules,Removing Flowers/Plants,2
Violation of Park Rules,Unauthorized Climbing,2
Violation of Park Rules,Use of Newly Seeded Lawn,1
Root/Sewer/Sidewalk Condition,Sidewalk Consultation,1
Overgrown Tree/Branches,Dead Branches in Tree,13
Overgrown Tree/Branches,Hitting Building,12
Overgrown Tree/Branches,Hitting Power/Phone Lines,7
Overgrown Tree/Branches,Blocking Street,3
Maintenance or Facility,Structure - Outdoors,625
Maintenance or Facility,Grass/Weeds,158
Maintenance or Facility,Garbage or Litter,141
Maintenance or Facility,Graffiti or Vandalism,79
Maintenance or Facility,Structure - Indoors,79
Maintenance or Facility,Unsecured Facility,68
Maintenance or Facility,Hours of Operation,61
Maintenance or Facility,Snow or Ice,61
Maintenance or Facility,Rodent Sighting,32
Maintenance or Facility,Broken Glass,7
Illegal Tree Damage,Branches Damaged,18
Illegal Tree Damage,Roots Damaged,6
Illegal Tree Damage,Unauthorized Tree Removal,6
Illegal Tree Damage,Trunk Damaged,5
Illegal Tree Damage,Unauthorized Tree Pruning,1
Dead Tree,Dead/Dying Tree,26
Damaged Tree,Branch Cracked and Will Fall,31
Damaged Tree,Tree Alive - in Poor Condition,30
Damaged Tree,Entire Tree Has Fallen Down,28
Damaged Tree,Branch or Limb Has Fallen Down,21
Damaged Tree,Tree Leaning/Uprooted,16
Damaged Tree,Tree Trunk Split,2
DPR Internal,Aided/Injury,71
DPR Internal,Locker Break-in/Incident,5
DPR Internal,Lost/Missing Person,3
DPR Internal,Property,2
Animal in a Park,Dog Off Leash,79
Animal in a Park,Injured Wildlife,39
Animal in a Park,Dead Animal,37
Animal in a Park,Animal Waste,21
Animal in a Park,Removing Wildlife,19
Animal in a Park,Wildlife Sighting,16
Animal in a Park,Domestic Strays,8
