Complaint Type,Descriptor,calls
Violation of Park Rules,Unlicensed Vendors,154
Violation of Park Rules,Obstructing Public Use,29
Violation of Park Rules,BBQ Outside Authorized Area,19
Violation of Park Rules,Unauthorized Climbing,5
Violation of Park Rules,Unsafe Use of Playground,5
Violation of Park Rules,Smoking,4
Overgrown Tree/Branches,Hitting Building,4
Overgrown Tree/Branches,Dead Branches in Tree,3
Overgrown Tree/Branches,Blocking Street,1
Overgrown Tree/Branches,Clear Street Light,1
Maintenance or Facility,Structure - Outdoors,141
Maintenance or Facility,Garbage or Litter,113
Maintenance or Facility,Structure - Indoors,50
Maintenance or Facility,Unsecured Facility,28
Maintenance or Facility,Snow or Ice,24
Maintenance or Facility,Hours of Operation,22
Maintenance or Facility,Graffiti or Vandalism,12
Maintenance or Facility,Rodent Sighting,7
Maintenance or Facility,Broken Glass,6
Maintenance or Facility,Grass/Weeds,5
Illegal Tree Damage,Roots Damaged,3
Illegal Tree Damage,Branches Damaged,1
Illegal Tree Damage,Unauthorized Tree Pruning,1
Dead Tree,Dead/Dying Tree,3
Damaged Tree,Branch or Limb Has Fallen Down,7
Damaged Tree,Entire Tree Has Fallen Down,4
Damaged Tree,Tree Alive - in Poor Condition,2
Damaged Tree,Tree Leaning/Uprooted,2
Damaged Tree,Tree Trunk Split,1
DPR Internal,Aided/Injury,27
DPR Internal,Property,2
DPR Internal,Lost/Missing Person,1
Animal in a Park,Domestic Strays,26
Animal in a Park,Dog Off Leash,12
Animal in a Park,Dead Animal,10
Animal in a Park,Injured Wildlife,7
Animal in a Park,Animal Waste,6
Animal in a Park,Wildlife Sighting,5
Animal in a Park,Removing Wildlife,2
