Complaint Type,Descriptor,calls
Violation of Park Rules,Obstructing Public Use,27
Violation of Park Rules,BBQ Outside Authorized Area,19
Violation of Park Rules,Unsafe Use of Playground,14
Violation of Park Rules,Smoking,13
Violation of Park Rules,Unlicensed Vendors,10
Violation of Park Rules,Biking/Rollerblading off Path,5
Violation of Park Rules,Unauthorized Climbing,3
Violation of Park Rules,Removing Flowers/Plants,2
Violation of Park Rules,Use of Newly Seeded Lawn,2
Violation of Park Rules,Unauthorized Posting of Signs,1
Root/Sewer/Sidewalk Condition,Affecting Sewer or Foundation,1
Root/Sewer/Sidewalk Condition,Sidewalk Consultation,1
Overgrown Tree/Branches,Dead Branches in Tree,10
Overgrown Tree/Branches,Hitting Building,10
Overgrown Tree/Branches,Blocking Street,4
Overgrown Tree/Branches,Hitting Power/Phone Lines,4
Overgrown Tree/Branches,Traffic Sign or Signal Blocked,1
Maintenance or Facility,Structure - Outdoors,564
Maintenance or Facility,Garbage or Litter,252
Maintenance or Facility,Grass/Weeds,155
Maintenance or Facility,Snow or Ice,128
Maintenance or Facility,Structure - Indoors,77
Maintenance or Facility,Graffiti or Vandalism,73
Maintenance or Facility,Hours of Operation,61
Maintenance or Facility,Rodent Sighting,49
Maintenance or Facility,Unsecured Facility,48
Maintenance or Facility,Broken Glass,13
Illegal Tree Damage,Branches Damaged,11
Illegal Tree Damage,Unauthorized Tree Removal,9
Illegal Tree Damage,Unauthorized Tree Pruning,5
Illegal Tree Damage,Trunk Damaged,4
Illegal Tree Damage,Roots Damaged,1
Dead Tree,Dead/Dying Tree,30
Damaged Tree,Branch or Limb Has Fallen Down,28
Damaged Tree,Entire Tree Has Fallen Down,22
Damaged Tree,Tree Alive - in Poor Condition,21
Damaged Tree,Tree Leaning/Uprooted,21
Damaged Tree,Branch Cracked and Will Fall,13
Damaged Tree,Tree Trunk Split,4
DPR Internal,Aided/Injury,169
DPR Internal,Property,79
DPR Internal,Lost/Missing Person,6
DPR Internal,Illegal Dumping,2
Animal in a Park,Dog Off Leash,43
Animal in a Park,Dead Animal,21
Animal in a Park,Animal Waste,19
Animal in a Park,Domestic Strays,17
Animal in a Park,Wildlife Sighting,17
Animal in a Park,Injured Wildlife,16
Animal in a Park,Removing Wildlife,7
