Complaint Type,Descriptor,calls
Violation of Park Rules,Obstructing Public Use,28
Violation of Park Rules,Smoking,3
Violation of Park Rules,BBQ Outside Authorized Area,2
Overgrown Tree/Branches,Blocking Street,1
Maintenance or Facility,Garbage or Litter,44
Maintenance or Facility,Structure - Outdoors,38
Maintenance or Facility,Structure - Indoors,13
Maintenance or Facility,Broken Glass,8
Maintenance or Facility,Grass/Weeds,8
Maintenance or Facility,Hours of Operation,7
Maintenance or Facility,Unsecured Facility,5
Maintenance or Facility,Snow or Ice,2
Maintenance or Facility,Graffiti or Vandalism,1
Illegal Tree Damage,Unauthorized Tree Removal,1
DPR Internal,Aided/Injury,20
DPR Internal,Property,1
Animal in a Park,Injured Wildlife,14
Animal in a Park,Dog Off Leash,8
Animal in a Park,Wildlife Sighting,6
Animal in a Park,Removing Wildlife,5
Animal in a Park,Dead Animal,4
Animal in a Park,Domestic Strays,4
Animal in a Park,Animal Waste,1
