	Glass	Graffiti	Ice	Litter	Weeds	Benches	Fences	Paved Surfaces	Play Equipment	Safety Surface	Sidewalks	Athletic Fields	Horticultural Areas	Trails	Lawns	Trees	Water Bodies
Glass	1.0	0.0502297617176	-0.00410983815239	0.112041114503	0.0226805746856	0.046929717785	0.0340745232801	0.121277436964	0.0252430719516	0.0582522547589	0.0535751511361	0.0601461038961	0.0568642350557	-0.0984848484848	0.0181488301267	-0.00170992753806	-0.0791278784909
Graffiti	0.171765959695	1.0	0.0248036122967	0.104620374507	0.154613595104	0.0756649835087	0.131611491629	0.145624878017	0.11152855893	0.010472149499	0.101688715311	0.100103199174	0.013952540992	-0.133333333333	0.0305259333997	0.0295192057197	0.0959008097166
Ice	-0.011779158838	-0.00578238563489	1.0	-0.00123729266988	-0.0233644859813	-0.0235354573484	-0.0148457350272	-0.0392792792793	-0.029390551749	-0.0924731182796	0.0174527227159	-0.0651465798046	-0.0179104477612	-0.0243902439024	-0.0254472773363	0.0193157709796	-0.0357142857143
Litter	0.303483140333	0.142453766747	-0.0319788497755	1.0	0.177545546897	0.147606291641	0.109942569677	0.109979502946	0.00676503775942	0.0244740048914	0.183727047475	0.0921875	-0.0676751592357	0.348214285714	0.101681105801	0.0574265347687	0.0307513780099
Weeds	0.0660638920551	0.0598638862228	-0.00833333333333	0.127062635606	1.0	0.112775125447	0.0880241340553	0.129888756312	0.0621391252088	0.00998249579389	0.169649248389	0.0377096436059	0.333743842365	-0.10989010989	0.0987218045113	0.081029821112	0.114893617021
Benches	0.0614743856726	0.0367867300964	-0.0260538641686	0.0580029486923	0.0700727313573	1.0	0.0716267485855	0.20590579073	0.0419395115905	0.0627869979848	0.267004131029	0.0269718403844	0.00292260930559	-0.0689655172414	0.00129176896712	0.0441190514262	0.130210571551
Fences	0.0448272771385	0.0625863991081	-0.031727746178	0.0421206023803	0.062079428292	0.112908548201	1.0	0.249137141842	0.0572528881491	0.09653142507	0.138973726761	0.0738489411703	0.072249589491	0.433774834437	0.038145858012	0.0616524201577	-0.0293671845396
Paved Surfaces	0.200157529931	0.0838885350413	-0.0870476804879	0.0544583417204	0.0961924144311	0.147865793131	0.188855216714	1.0	0.103280141844	0.163883747922	0.247068154779	0.0397449682153	0.0778829604131	-0.199367088608	0.0510890946824	0.0955166371459	-0.187057068258
Play Equipment	0.0502077863906	0.0674793453499	-0.0286981712837	0.00351991063805	0.0259351257872	0.110297580818	0.102159090909	0.154306824441	1.0	0.100735325036	0.122502849601	0.052357113058	-0.0560747663551	-0.0540540540541	0.0269921833173	0.0272480736539	-0.0352941176471
Safety Surface	0.0924172788336	0.0181085514126	-0.0604351329573	0.0194864442127	0.025087887504	0.171211287337	0.150864723165	0.183684886568	0.0988709984756	1.0	0.319367919954	-0.0131322249076	-0.189189189189	0.0	0.0207949578123	0.0188274864209	0.0
Sidewalks	0.0285973645851	0.0164534243563	-0.00898880252029	0.0417909300366	0.0446168125166	0.102637153053	0.0419863428175	0.0660499947571	0.0109108818036	0.065762381921	1.0	0.024584717608	-0.0830536912752	-0.0873786407767	0.0229399843013	0.0352211212172	0.0183758150563
Athletic Fields	0.199496682681	0.106933019976	-0.159340659341	0.0856276287347	0.112706274393	0.0702221433431	0.0612456747405	0.101586915053	0.0743859649123	-0.0225276823215	0.0985921063039	1.0	0.128787878788	-0.0178571428571	0.195278969957	0.0545177045177	0.183333333333
Horticultural Areas	0.00579369739675	0.0132799623263	0.0	-0.00372755251442	0.0639846743295	0.00110541654105	0.0253588516746	0.00987357013847	-0.0232558139535	-0.0289855072464	-0.0303797468354	0.0208620531201	1.0	0.0	0.0579872802095	0.13390451185	0.0
Trails	-0.0116279069767	-0.0112994350282	0.0	0.00859247135843	-0.015037593985	-0.019801980198	0.231818181818	-0.018018018018	0.0	0.0	-0.0114942528736	0.0	0.0	1.0	0.175609756098	-0.0281690140845	-0.0121951219512
Lawns	0.0616550362804	0.0754310565791	-0.039668851328	0.0519347263754	0.155553197589	-0.00430087512233	0.113022658596	0.0926765260654	0.0537261205388	0.0593573093573	0.0937538273117	0.0421583032786	0.105263157895	0.46511627907	1.0	0.0387870644499	-0.0338983050847
Trees	0.0236135853847	0.10401174663	0.239139732388	0.0675924351542	0.186594162208	0.106639700532	0.191722108776	0.179189705005	0.0751876852513	0.0322142768423	0.153263607217	0.0275877412537	0.518383988139	-0.119113573407	0.107630479048	1.0	0.0455598455598
Water Bodies	-0.038784067086	0.121693121693	-0.224489795918	0.0120007680492	0.0717455621302	0.270676691729	0.0275862068966	-0.0893719806763	-0.111111111111	-0.125	0.0238095238095	0.75	-0.186666666667	-0.0920245398773	-0.238095238095	0.12972972973	1.0
