	Glass	Graffiti	Ice	Litter	Weeds	Benches	Fences	Paved Surfaces	Play Equipment	Safety Surface	Sidewalks	Athletic Fields	Horticultural Areas	Trails	Lawns	Trees	Water Bodies
Glass	1.0	0.0791834818623	0.0821078431373	0.257056669459	0.0833460425505	0.00118472485297	0.123009488613	0.125363207157	-0.00724142901579	-0.0142886756693	0.057540257306	0.0731772709754	-0.0841059602649	0.0824090505768	0.050711589797	0.0407839230229	-0.025641025641
Graffiti	0.307526128335	1.0	0.226851851852	0.169597665219	0.241300661556	0.105753736027	0.204327167079	0.184869272274	0.12866742555	0.0382880979253	0.113484646195	0.157551586613	-0.061744966443	-0.00263157894737	0.046798344095	0.0631155085703	-0.0573476702509
Ice	0.0905626134301	0.0180545662878	1.0	0.00496063350476	-0.00549450549451	0.0542281127497	0.143896643897	-0.0585945830668	-0.0236742424242	-0.0112044817927	0.010941475827	0.0166666666667	-0.0452261306533	-0.0900900900901	-0.0341463414634	0.0201750121536	-0.029197080292
Litter	0.555770466964	0.218147869955	0.0187137086594	1.0	0.241209211399	0.0877461608176	0.175639358474	0.184534870046	-0.00553550103599	0.0408244819911	0.169870534011	0.0423645320197	0.153500897666	0.078196347032	0.167134172867	0.112740387752	0.0892255892256
Weeds	0.229042573632	0.0866089647286	0.0	0.139798861336	1.0	0.0589456475198	0.14499705914	0.120970704998	0.0244411205063	-0.00964912280702	0.130600110619	0.0309482001756	0.114272809395	-0.0268907563025	0.0351159075151	0.0676427432217	-0.0403800475059
Benches	0.00847834998346	0.0692780956668	0.028113948282	0.0350420348881	0.0744070823651	1.0	0.102731288122	0.17782129179	0.0360675175426	0.0331910858227	0.218926553672	0.107926799191	-0.0693069306931	0.0518847006652	0.0568730786122	0.0300855769408	-0.0703125
Fences	0.0908632375168	0.0853091814063	0.0250448296473	0.045617101103	0.103988305075	0.173867964452	1.0	0.193270467487	0.0241514554394	0.0306573020389	0.172524154589	0.0797101449275	0.0660810810811	0.0300546448087	0.082119722002	0.0443424794218	-0.0446428571429
Paved Surfaces	0.198957493841	0.142761376282	-0.114359318996	0.0958154195719	0.166231152619	0.134581518241	0.178473820799	1.0	0.0678390683154	0.163611750372	0.223148489315	0.0653477218225	-0.091693635383	0.0157551611735	0.0643049672699	0.101290414829	0.150980392157
Play Equipment	-0.0342677224559	0.072436373407	-0.0593986928105	-0.012987585773	-0.0176714798458	0.00920963514827	0.039481105471	0.114361309377	1.0	0.111762260094	0.23839198436	0.00505720444371	-0.0225563909774	-0.0151515151515	0.0405838180078	0.00409804514586	-0.10119047619
Safety Surface	-0.0796721947435	0.0205537282774	0.0123831775701	0.0174404224471	-0.0382836864179	-0.00565681961031	0.103440860215	0.260959880406	0.171510673235	1.0	0.185185185185	0.02	-0.0824742268041	-0.111111111111	-0.0131612143638	0.0229932860642	-0.05
Sidewalks	0.0359852849546	0.040309763704	-0.000821903734525	0.0423409054058	0.0712181975452	0.0567896667591	0.0404657217921	0.0895910352617	0.0219527728787	0.0199634619139	1.0	0.0444995554724	-0.0192229866451	0.0966666666667	0.0470168733686	0.0590566341883	-0.0869565217391
Athletic Fields	0.16599161001	0.16443452381	0.247826086957	0.033507893139	0.155354449472	0.161676646707	0.22614379085	0.193315508021	0.088783269962	0.0859375	0.177777777778	1.0	-0.190217391304	-0.030303030303	0.132508833922	0.311393596987	-0.0869565217391
Horticultural Areas	-0.0226293103448	-0.0225321888412	-0.015503875969	0.0166705417345	0.0746121297602	-0.0386178861789	0.0412403100775	-0.0122605363985	-0.0108303249097	0.0	-0.00527009222661	-0.00550964187328	1.0	-0.00571428571429	0.0268824974707	0.102396514161	-0.00263157894737
Trails	0.0751879699248	0.00567794685442	-0.0697674418605	0.0358302122347	-0.0195707070707	0.145652173913	0.0514184397163	-0.000419463087248	-0.05	-0.125	0.119191919192	0.0	-0.116883116883	1.0	-0.271844660194	-0.0704340704341	-0.0816326530612
Lawns	0.110578320256	0.0759884974838	-0.109452736318	0.0907830265669	0.132664437012	0.0959932526708	0.288182591067	0.0839245779932	0.124234879137	0.0131545338442	0.136600296809	0.0459722222222	0.0305823407071	-0.0359168241966	1.0	0.0439207591525	-0.0316265060241
Trees	0.127335673354	0.128062948707	0.155430907947	0.0825262277195	0.232813312705	0.0663453885321	0.164602249627	0.154296877335	0.0894860445422	0.0622658162501	0.212859347085	0.09262725817	0.114141934008	-0.0392673992674	0.133802225135	1.0	-0.0723404255319
Water Bodies	-0.0271186440678	-0.027397260274	-0.0408163265306	0.011629479378	-0.0194174757282	-0.0496894409938	-0.0490797546012	0.0272296764009	0.0	0.0	-0.0492957746479	0.0	-0.0438596491228	-0.00833333333333	-0.0683760683761	-0.0650406504065	1.0
