	Glass	Graffiti	Ice	Litter	Weeds	Benches	Fences	Paved Surfaces	Play Equipment	Safety Surface	Sidewalks	Athletic Fields	Horticultural Areas	Trails	Lawns	Trees	Water Bodies
Glass	1.0	0.0421356353595	-0.0214534988807	0.133948364309	0.0375867434075	0.105774287266	0.0519383003402	0.0874277098275	-0.00839218407696	0.0215283569641	0.0694133436422	0.0515564437984	-0.08356545961	-0.00789374765067	-0.00335623584744	0.0167237216813	-0.0439235561187
Graffiti	0.227714121497	1.0	-0.199217986315	0.108523751105	0.141770465211	0.14387044396	0.165816048311	0.172932800763	0.133561250856	0.0557601135252	0.131185470497	0.0251748251748	0.0116799688534	-0.0312664214398	0.0348288075561	0.0211584023637	-0.0562285591767
Ice	-0.0498070946308	-0.0256146685022	1.0	-0.0322564429486	-0.0619834710744	0.0254970760234	-0.000806823420931	-0.0729908761405	0.0445736434109	-0.131233595801	0.0543701596333	-0.0578512396694	-0.0484693877551	-0.0520833333333	-0.0497885257061	-0.000354375354375	-0.0137931034483
Litter	0.297027439807	0.129158035809	-0.102840336681	1.0	0.237923821569	0.120108818862	0.120433224769	0.11661008376	0.0622279955652	0.076149643345	0.19065168306	0.0605464942491	-0.123067010309	0.0487891737892	0.0757857733664	0.0472048774892	0.0402171419833
Weeds	0.13657344155	0.0511758216552	0.0	0.132248711688	1.0	0.103657007112	0.14982531789	0.127575238691	0.0690787426082	0.0681897965643	0.264009991622	0.0861988304094	0.009796314258	0.010593220339	0.0469445065101	0.0286075586944	0.120903759917
Benches	0.118571294268	0.0613962442338	-0.00309138468855	0.0358645807828	0.0629860629861	1.0	0.0694060724082	0.22041267941	0.0894505071872	0.0604541850719	0.0978770562771	0.0679853328513	0.0398648648649	0.044704470447	0.0408229272879	0.027136970643	0.0689807454513
Fences	0.0428358194293	0.0643947548684	-0.00174437668044	0.0316552798667	0.0867902699622	0.136173787429	1.0	0.204493118821	0.0639218604974	0.0415808954013	0.174114107421	0.0516769336071	-0.0642709053214	0.0234090909091	0.0308966557365	0.0437929632227	-0.000880281690141
Paved Surfaces	0.134999235893	0.125236699843	-0.085437056328	0.0581592795666	0.142165634993	0.172906210937	0.145558223289	1.0	0.100924393422	0.134354779451	0.195842846553	0.0905383115909	-0.130485664131	0.056856187291	0.0566416636837	0.0729392386672	0.0153999006458
Play Equipment	-0.00459312442194	0.0455152547209	0.0358950829701	0.0178074210903	0.0457676964342	0.150108231998	0.171425879612	0.100354696673	1.0	0.0430701332291	0.0763124604681	0.103092452446	-0.0320284697509	0.0	5.48938718478e-05	0.00274497329251	0.0668246445498
Safety Surface	0.0332673255516	0.0267278701749	-0.0795454545455	0.0242315476567	0.0518991382062	0.0991189427313	0.122625413802	0.119354682896	0.0307600053303	1.0	0.254134897361	0.182154103207	-0.0413223140496	0.0	0.0189827920558	0.0443240581138	-0.075
Sidewalks	0.0176695837887	0.0191514569512	-0.00227222208501	0.0295073034467	0.0816092271693	0.0175310340283	0.0309404239865	0.0240111362156	0.000239412181391	0.00883266544946	1.0	-0.00416695603861	0.0950628319049	0.00599925009374	0.0352065956332	0.0271592623003	0.0746619635509
Athletic Fields	0.222387537196	0.0956818181818	-0.140495867769	0.0614228446087	0.151048298107	0.251328955597	0.126605136437	0.18492808005	0.340371563721	0.325760649087	0.0977054034049	1.0	-0.188191881919	-0.0806451612903	0.275994108984	0.062148217636	-0.0569948186528
Horticultural Areas	-0.015607580825	0.00918937528137	-0.00369003690037	-0.000442252260689	0.012490981241	0.027963027963	-0.0135440180587	-0.0245614035088	-0.00393700787402	0.0	0.0858858858859	-0.0018691588785	1.0	0.0	-0.00911854103343	0.00212797399143	0.0449622166247
Trails	0.0157410682703	-0.0169811320755	-0.101123595506	0.0240836466165	0.103303303303	0.0961538461538	0.0738993710692	0.181451612903	0.0	-0.25	-0.0432341381246	-0.162162162162	-0.144578313253	1.0	-0.306930693069	0.135106000719	-0.175438596491
Lawns	0.00402149033571	0.0900815591379	-0.119112478032	0.0674514592156	0.135963644661	0.13595505618	0.128670290178	0.130228477296	0.00611137859092	0.0815450133232	0.191160441461	0.0751876740228	-0.0814545454545	-0.0327868852459	1.0	0.0271944699115	0.0572289156627
Trees	0.100292332411	0.120335235677	0.0252696456086	0.0852004431869	0.173136340294	0.102212602213	0.180778284248	0.159220076949	0.0421371408018	0.183195574301	0.217418944692	0.0244305120167	-0.0377500943752	0.0733804318848	0.0904925956397	1.0	0.0207169194511
Water Bodies	-0.00343249427918	-0.0648395721925	-0.193798449612	0.0850308308741	0.23	0.253652597403	0.0418943533698	0.0413306451613	0.147196261682	0.0	0.501773049645	-0.146666666667	0.80985915493	-0.0882352941176	0.318996415771	0.120462046205	1.0
