	Glass	Graffiti	Ice	Litter	Weeds	Benches	Fences	Paved Surfaces	Play Equipment	Safety Surface	Sidewalks	Athletic Fields	Horticultural Areas	Trails	Lawns	Trees	Water Bodies
Glass	1.0	7.06055128784e-05	-0.0253699788584	0.0904862579281	0.0418421052632	-0.0485133020344	0.0474170580215	-0.0198333333333	0.00576973511671	-0.0193905817175	-0.00145772594752	-0.0607142857143	-0.0627450980392	-0.0522540983607	-0.0233333333333	0.0176630434783	0.233333333333
Graffiti	-0.00921756262314	1.0	-0.194871794872	0.0538464689497	0.0111182210846	0.0964912280702	0.138027615351	0.038908045977	0.0969202898551	0.0840480274443	0.102736122073	-0.0175653594771	-0.0625	-0.0732394366197	0.0223148434016	0.0443404634581	0.0868945868946
Ice	-0.0488505747126	-0.0267295597484	1.0	-0.00264877880977	-0.08	-0.0943396226415	-0.0829268292683	-0.0479195885928	0.0160305343511	-0.0707070707071	-0.0920245398773	-0.05	-0.0657894736842	-0.0380952380952	-0.0372208436725	0.0154222766218	-0.0377358490566
Litter	0.241742694698	0.109385656576	0.0470896010464	1.0	0.0485126494301	0.102860286029	-0.230720760021	-0.00574392032893	-0.0739450251645	0.0785256410256	0.239292680858	0.0693208430913	-0.283154121864	0.157242757243	-0.096383224317	-0.0224697702121	0.0996254681648
Weeds	0.15286908078	0.00315763905757	0.0	0.0882222550613	1.0	0.123155788947	0.134757834758	0.0289039039039	0.026130806846	0.0748059280169	0.0222245409015	-0.0995260663507	-0.0797872340426	0.106479022836	0.112406867509	0.0515243425318	-0.114942528736
Benches	-0.0811359026369	0.0774657824185	-0.0673076923077	0.0469311198021	0.0834284989215	1.0	0.0415874089417	0.19733436853	0.025386996904	0.0390804597701	0.0136599152143	-0.0109126984127	0.0850340136054	0.0938670411985	0.0324948869013	0.00463785426478	0.398113207547
Fences	0.0640532307199	0.10336024862	-0.0560747663551	-0.0313396039339	0.0405262439424	0.0551563820795	1.0	0.262778730703	0.0624197479102	0.0440379403794	0.0402181322427	-0.0111776447106	-0.0337423312883	-0.0313199105145	0.0365114178816	0.0392553400187	0.0493535162409
Paved Surfaces	-0.0390727391874	0.0533640023002	-0.0642533936652	0.00767786124613	0.0180500658762	0.065071465591	0.159357696567	1.0	0.0440435483237	0.13261351052	0.22896797153	0.0425815036593	-0.132258064516	-0.0541828254848	0.0263066538091	0.116205110886	-0.108938547486
Play Equipment	0.036738596012	0.101490284852	0.0127551020408	-0.0154891990335	-0.00126613704071	0.0181496237273	0.184980237154	0.0583998611593	1.0	0.0314814048732	-0.165229885057	-0.0286998616874	-0.0505050505051	-0.0526315789474	-0.00884433962264	0.0526295961423	-0.0655737704918
Safety Surface	-0.0286738351254	0.0284596645742	-0.0206611570248	0.0307509497146	0.0369805566146	0.123742454728	0.0709064327485	0.124774890661	0.0104651162791	1.0	-0.152671755725	-0.00704225352113	-0.0526315789474	-0.0909090909091	0.0099286033021	0.0110499239186	-0.0555555555556
Sidewalks	-0.0122549019608	0.0351224338363	-0.0448717948718	0.0232988039247	-0.00387323943662	-0.000859172302327	0.0174246610968	0.0438499204498	-0.0178471111879	-0.033422459893	1.0	-0.0387096774194	-0.0408163265306	0.0020253164557	0.136340956341	0.016335347359	-0.0348837209302
Athletic Fields	-0.130890052356	-0.00940860215054	-0.0943396226415	0.074621419449	-0.143835616438	-0.033199195171	0.0148148148148	0.0739436619718	-0.0542432195976	-0.169014084507	-0.1875	1.0	-0.08	-0.0493827160494	-0.209090909091	0.0433884297521	-0.0350877192982
Horticultural Areas	-0.0466321243523	-0.0471204188482	-0.0666666666667	-0.047619047619	-0.0373134328358	0.163580246914	-0.0736842105263	-0.0648148148148	0.0	0.0	-0.0560747663551	-0.0333333333333	1.0	0.0682579564489	-0.047619047619	-0.1125	-0.0145631067961
Trails	-0.0575931232092	-0.157142857143	-0.12389380531	0.0646650755058	0.261904761905	0.170839469809	-0.255	-0.111486486486	-0.162162162162	0.0	0.0652173913043	-0.238095238095	0.730158730159	1.0	-0.410447761194	0.231922398589	-0.181818181818
Lawns	-0.031418097098	0.0385592359277	-0.0505415162455	-0.0262016130083	0.119804812384	0.0484138847368	0.0607682847428	0.0493872898262	0.00439306358382	0.0314207650273	0.323975549015	-0.0373563218391	-0.0451807228916	-0.0299295774648	1.0	0.0134357072172	-0.0258302583026
Trees	0.105611899932	0.194360164198	0.0576923076923	-0.0138872156901	0.153050896472	0.0123690661912	0.2	0.15819318255	0.0921233238306	0.0265848670757	0.14495641345	0.0317679558011	-0.174386920981	0.0504847396768	0.0959580838323	1.0	-0.045632798574
Water Bodies	0.155844155844	0.165079365079	-0.0873786407767	0.0205535590442	-0.0460829493088	0.21511627907	0.394736842105	-0.0944881889764	0.0	0.0	-0.0916666666667	0.0	-0.0847457627119	-0.049504950495	-0.155963302752	0.155115511551	1.0
