	Glass	Graffiti	Ice	Litter	Weeds	Benches	Fences	Paved Surfaces	Play Equipment	Safety Surface	Sidewalks	Athletic Fields	Horticultural Areas	Trails	Lawns	Trees	Water Bodies
Glass	1.0	0.0677098634584	-0.0682828098369	0.183271528717	0.0546780392776	0.134052269601	0.151670375293	0.155119585483	0.0222265371633	0.00883524141364	0.152516368361	-0.0158155089528	-0.0817258883249	0.0875	0.0688828310364	0.0932139140465	-0.0358090185676
Graffiti	0.158547008547	1.0	0.116598410022	0.0936719671909	0.086185515873	0.107609343997	0.189835380193	0.128479016092	0.171808217895	0.0216357584403	0.100811519127	0.0294001578532	-0.11157455683	-0.0926624737945	0.0737909337499	0.0285727370716	-0.0892660348248
Ice	-0.0654252283105	-0.000792015193761	1.0	0.0132099209202	-0.0774647887324	0.0326797385621	0.0278225084988	-0.0315222820356	-0.0377258936816	-0.114583333333	0.217948717949	-0.118852459016	-0.0645161290323	-0.0601503759398	-0.0406975740309	0.0241969658446	0.108414239482
Litter	0.400254972711	0.154439283986	0.0844776659232	1.0	0.194496691048	0.0747627617801	0.0945900772242	0.0941953884311	0.0279739946749	0.0306709846721	0.160579231102	0.0590968276515	0.0892333472979	0.205882352941	0.162487874365	0.106998306684	-0.0595533498759
Weeds	0.0844317460317	0.0369148498075	0.0	0.0905413192142	1.0	0.0746393128179	0.101645867944	0.0874332882659	0.0538346130086	0.0625436222188	0.12125170068	0.0186130576783	-0.0748587570621	0.0066265060241	0.0470032840722	0.0307715655117	-0.0964912280702
Benches	0.0567734180097	0.0381821128111	0.0107711138311	0.0216255526138	0.0386321955456	1.0	0.0571479022015	0.204626652968	0.0388260640093	0.0476889153804	0.109783702213	0.0376301317746	-0.066091954023	-0.0308056872038	0.0440466589525	0.0336342503638	0.0234113712375
Fences	0.0830107034663	0.0962686567164	-0.00699147457503	0.0359955689719	0.0756003975684	0.125105307498	1.0	0.232933452131	0.0379535796012	0.054547342274	0.133653343783	0.0401919715011	-0.106382978723	0.0626398210291	0.0337488769469	0.051254718322	-0.0391365391365
Paved Surfaces	0.12994673672	0.0866177992637	-0.0393245097331	0.045935608293	0.0854720681804	0.173851863891	0.152946127946	1.0	0.0936783217529	0.161038624911	0.167415601476	-0.00344149459194	0.00374241837656	0.0182827735645	0.080670792367	0.066724993777	-0.116751269036
Play Equipment	0.0207769813609	0.0875463342649	-0.0413759059394	0.00768882858435	0.0482871720117	0.0629218703031	0.0971804301794	0.139791714351	1.0	0.179523836432	0.118091009989	0.0185185185185	-0.0416666666667	-0.0327868852459	0.0310616176586	0.0363884259733	-0.169491525424
Safety Surface	-0.00320666987334	0.00624182019531	-0.0387878787879	0.003283622287	0.0410232353712	0.00958148091369	0.0934819897084	0.12457321237	0.169466946695	1.0	0.145698051948	-0.0398671096346	-0.0253164556962	0.0	0.0348970370833	-0.00848012484753	-0.046511627907
Sidewalks	0.0649883867933	0.0279954685271	0.0207991461544	0.0358518458453	0.0565215040057	0.0542811226832	0.053740636899	0.0469552758975	0.0290008841733	0.0442317916002	1.0	0.0389757233123	-0.0998959417274	-0.0640668523677	0.0489397091032	0.0382466349954	-0.0829875518672
Athletic Fields	-0.027380952381	0.043137254902	-0.0833333333333	0.0211022693781	0.0250652741514	0.0743507339529	0.0960978450786	0.010864978903	0.0823663253697	-0.203389830508	0.0753676470588	1.0	-0.132947976879	-0.0277777777778	0.247508305648	-0.0512820512821	-0.0125
Horticultural Areas	-0.00950895938243	-0.023679417122	-0.00632911392405	0.00873718218851	-0.0295566502463	-0.0247349823322	-0.0271186440678	-0.00847970926711	-0.00694444444444	0.0	-0.0382352941176	-0.00280112044818	1.0	0.0	0.0846979107849	-0.0456140350877	0.0
Trails	0.0376770538244	-0.0330882352941	-0.0480769230769	0.0253318718792	0.0174418604651	-0.0838709677419	0.0785891089109	0.00686600221484	-0.0263157894737	-0.0454545454545	-0.0816326530612	-0.0196078431373	-0.0510204081633	1.0	0.0428571428571	0.0380116959064	0.203020134228
Lawns	0.0752442583428	0.133802769831	-0.0688811188811	0.070592027306	0.1003996004	0.153651115619	0.0880172128434	0.1242467582	0.113224222586	0.0933431952663	0.162210890887	0.12789373814	0.935799782372	0.0300254452926	1.0	0.0467538694677	-0.0243362831858
Trees	0.166759740139	0.120599742799	0.136984126984	0.0758146122823	0.111214754904	0.126352789992	0.146643607776	0.0800930071798	0.111503556537	-0.0786839726204	0.148065876553	-0.0545100584036	-0.181291390728	0.0868217054264	0.139664243992	1.0	0.167648544016
Water Bodies	-0.00444938820912	-0.0344611528822	0.231884057971	-0.00138339920949	-0.0581395348837	0.380341880342	0.0332681017613	-0.102564102564	-0.0333333333333	0.0	-0.132743362832	-0.0666666666667	-0.168539325843	0.134556574924	-0.170212765957	0.125714285714	1.0
