	Glass	Graffiti	Ice	Litter	Weeds	Benches	Fences	Paved Surfaces	Play Equipment	Safety Surface	Sidewalks	Athletic Fields	Horticultural Areas	Trails	Lawns	Trees	Water Bodies
Glass	1	0.264108789134	0.117192848992	1.42965617547	0.102178903545	0.0335787948852	0.121448611407	0.625100350314	0.0470846919988	0.0327845400031	0.0610625818869	0.245441795231	-0.0857142857143	-0.165521978022	0.121635220027	0.201885618681	-0.0164556962025
Graffiti	0.0615851524847	1	-0.0123314246378	0.85868881765	0.0265967577971	0.0535234071424	0.0688783288783	0.26703036374	0.132163428219	0.0467032967033	0.00925713630632	0.0826288065256	-0.0548504079782	-0.0375	0.0157393465709	0.0867036876849	-0.0493046776233
Ice	0.00726987447699	0.13215408805	1	0.506408851884	0.0	0.451819579703	0.0680051813472	-0.0379377431907	0.0829628132579	-0.00857843137255	-0.0559566787004	-0.0265957446809	-0.0417457305503	-0.0849673202614	-0.0218508997429	0.142468159859	-0.0625
Litter	-0.274299668187	-0.268118634381	-0.445253097094	1	-0.286776143078	-0.32361185913	-0.294529461359	-0.091399580276	-0.240389436476	-0.221808374232	-0.366072942661	-0.466886253843	-0.489343359538	-0.582330827068	-0.345891594753	-0.258674480269	-0.256493506494
Weeds	0.111292250259	0.19533926887	0.0	1.06572316956	1	0.0963134881986	0.171464726352	0.439776657953	0.078089032934	0.0495394583607	0.113542772162	0.0898261975413	-0.000430292598967	-0.0228608054695	0.0665816967652	0.198176618011	-0.0347222222222
Benches	-0.0294131501095	0.0629868802386	-0.0112617622313	0.557052255608	0.0118086860913	1	0.0881950940058	0.292410734367	0.138758143896	0.113129464286	0.0437212360289	0.145614035088	-0.0585435506901	0.0283848614072	0.0188156740873	0.081606167137	-0.0587431693989
Fences	0.00301677505261	0.110767591413	-0.00421619424972	0.589811331382	0.0429439596183	0.0964523159765	1	0.317546193947	0.107214485744	0.0717503012665	0.0442020854765	0.0670509708738	-0.0599876885195	-0.0320531057373	0.0898566535341	0.114627103111	-0.0536398467433
Paved Surfaces	-0.146717138091	-0.0454737869158	-0.211089494163	0.459322602844	-0.124139447236	-0.0803257799983	-0.068872942124	1	0.0445909472794	0.0903964368913	-0.0453737935519	-0.0554987839523	-0.286972198656	-0.418969531329	-0.139231204504	-0.00944168973339	-0.207446808511
Play Equipment	-0.135467932765	-0.00729920343277	-0.117173071488	0.233080619163	-0.117907112291	-0.0548624407714	-0.0466305782199	0.0757534539018	1	-0.0307518263512	-0.0359151265712	0.05393185855	-0.0233516483516	-0.0108695652174	-0.0506180689094	-0.0304980637417	-0.10407239819
Safety Surface	-0.11564453468	-0.0175577231757	-0.0395682245501	0.248789417392	-0.0996061274601	-0.0267559964074	-0.0183364607979	0.191195986642	0.187563630306	1	0.0156291566906	0.336225137537	-0.0571428571429	-0.0909090909091	-0.0394231976397	0.0412563131313	-0.047619047619
Sidewalks	-0.0183496698091	0.0760964313318	-0.0351722687603	0.662942536963	0.013290154839	0.0442572089489	0.0360079949715	0.336532054003	0.103469409622	0.00333176280541	1	0.175756630265	-0.0668556084531	-0.0564263322884	0.0186022610483	0.109396424628	-0.0760869565217
Athletic Fields	-0.0430917853972	0.171792900167	-0.0380220646178	0.68483622882	-0.00859068762135	0.0648103439026	0.0324074074074	0.0882944145069	-0.0510803583628	-0.139018197207	-0.039203450491	1	-0.100938967136	-0.0294117647059	-0.0160957178841	0.0748346490292	-0.077519379845
Horticultural Areas	-0.0122448979592	-0.0122393472348	-0.0132827324478	1.09152269988	0.112951807229	-0.0104712041885	0.265774084334	0.250823495468	-0.00824175824176	0.0	0.0487621637092	-0.00234741784038	1	-0.00524934383202	0.0750431778929	0.356035731531	-0.00907029478458
Trails	0.189593596059	0.0171798029557	-0.0392156862745	0.807557687322	-0.0130327956415	0.0577469793888	0.128120978121	0.592406692407	-0.0217391304348	-0.0454545454545	0.123573396301	0.0	-0.0236220472441	1	-0.0518518518519	0.025072259192	-0.025974025974
Lawns	0.0445200060228	0.0572555155688	-0.0655526992288	0.76139923425	0.0192458135111	0.0610987421785	0.0793397473895	0.20761962447	0.0965252687453	0.022228354182	0.0834201338768	0.0974153980944	-0.0552174198203	-0.05	1	0.117878840299	-0.0379008746356
Trees	-0.0334769127777	0.0501330424457	-0.0165185226422	0.525669641113	-0.0135532490169	-0.0118172392772	-0.00354202444691	0.166600322705	0.0414120610461	-0.0110030353201	0.023694087694	0.0859731824848	-0.0950744472853	-0.111383108935	-0.0169527631453	1	-0.0713359273671
Water Bodies	-0.0291139240506	-0.0290771175727	-0.0769230769231	0.300662878788	-0.0121527777778	-0.025956284153	-0.029374201788	-0.0244845360825	0.0	0.0	-0.0344202898551	0.0	-0.031746031746	-0.025974025974	-0.0276967930029	-0.029831387808	1
