	Glass	Graffiti	Ice	Litter	Weeds	Benches	Fences	Paved Surfaces	Play Equipment	Safety Surface	Sidewalks	Athletic Fields	Horticultural Areas	Trails	Lawns	Trees	Water Bodies
Glass	1	0.220279838436	-0.0152982687617	1.27934029411	0.115258591102	0.0891692746485	0.0264836962978	0.310651363653	0.0111002859261	0.109471129424	0.067624100265	0.183058118828	-0.135593220339	0.0335618586728	0.0510261678575	0.395202696808	0.212290502793
Graffiti	-0.0107494549843	1	-0.0558441558442	0.634995586497	0.0278096888307	-0.00772544549663	0.00859763079748	0.1476003461	-0.0404398929361	-0.0706564196788	-0.0364924757723	0.0183722357506	-0.0455868828926	-0.0901279430691	-0.00267762770123	0.158434949089	0.019258168693
Ice	-0.0688835622004	-0.0690982404692	1	0.122389627623	0.0	0.0544566544567	-0.0110048510049	0.122608205524	0.033395603552	-0.016323024055	-0.0223095823096	-0.00232558139535	-0.0273722627737	0.0	0.148130081301	0.0973260557945	-0.0177777777778
Litter	-0.353312888442	-0.283789455167	-0.420763623857	1	-0.262683667274	-0.353320898637	-0.365689403794	-0.237146259854	-0.350200668253	-0.316621219517	-0.408890726389	-0.55911936264	-0.475992224027	-0.924725402146	-0.389009500521	-0.194373206585	-0.46085312999
Weeds	0.00403171773315	0.0699971061246	0.0	0.698390269699	1	0.0285088688482	0.0503500504213	0.243371414163	0.0310697974812	0.0212420832004	0.0377731448235	-0.0125226370747	-0.0594782846217	-0.0147593097184	0.0410123745851	0.19981805678	-0.0247208345577
Benches	0.0636329107479	0.1381970127	-0.023421023421	0.535301060313	0.0937518783757	1	0.0597887578756	0.273156392651	0.0610041325433	0.114610899183	-0.00544781405025	0.107511116981	-0.0633399942367	0.0422564102564	0.0560706966384	0.22132669737	0.102091773039
Fences	0.0221384938398	0.113044192789	-0.008995662329	0.529734474435	0.069608329725	0.0577422425711	1	0.25168260557	0.0349529569104	0.06036928148	0.00929298516185	0.0825069705419	-0.0562248995984	0.0317417978128	0.0493942784859	0.233044826871	0.0698646616541
Paved Surfaces	-0.0688474849442	0.0541198541292	-0.120792666647	0.46842280837	-0.0224006393992	-0.0246902078509	-0.0271825396825	1	-0.0580001427905	-0.0314279052123	-0.069539857602	-0.0097327807458	-0.147754707871	-0.147399660825	-0.0350914809761	0.138077790505	-0.160966484496
Play Equipment	-0.0338255966002	0.176407313404	0.0938341626982	0.413643892014	0.0573180178654	0.0796254504313	0.0591504844862	0.196378737831	1	0.0718160757749	-0.0251254737693	0.327860118183	-0.0280373831776	0.0	0.0172735851183	0.195493645745	0.118466898955
Safety Surface	-0.0482701073848	0.131092954278	-0.0962199312715	0.376803692458	0.0378944441483	0.0189212121212	0.0186989612959	0.208058694822	0.0267280166508	1	-0.0383884220814	0.24975781278	-0.0493827160494	0.0	0.00753284520299	0.243725515145	-0.163265306122
Sidewalks	-0.0272219867175	0.0753619500983	0.0368102073365	0.627562977429	0.0983968149725	0.038294039889	0.0675440377889	0.162508239208	0.00907589793977	0.0292731418633	1	0.0430010718114	0.00873655913978	-0.0350015837821	0.0949456995283	0.225649316168	0.201049583786
Athletic Fields	-0.0407606457458	0.0420093701197	-0.0860465116279	0.612542824515	0.138323575876	0.00540288775035	0.0139533260023	0.112735276786	-0.014372340564	0.114775258676	-0.0680156470805	1	-0.0957910014514	-0.0751879699248	0.0351811638219	0.279257556611	-0.0755555555556
Horticultural Areas	-0.0136534839925	0.0974511958968	-0.00729927007299	0.207125918214	0.0951773953686	0.158531861321	-0.00688468158348	-0.0140028971511	-0.00133511348465	0.0	0.0955197132616	-0.00145137880987	1	0.0	-0.00197889182058	0.208020459245	0.495735607676
Trails	-0.00232542688193	0.135467980296	-0.0821917808219	0.717438826599	0.0271182042299	-0.0015	0.00739342457134	0.247658079625	0.0	-0.111111111111	0.00682926829268	-0.0902255639098	-0.0746887966805	1	-0.0734126984127	0.394382801664	-0.0724637681159
Lawns	-0.0453049836156	0.0706171080236	-0.0838744756874	0.640090304577	0.0699123756562	0.0215314654887	0.0153963525559	0.123642834262	-0.0119949014328	0.00735223551722	-0.0143933950228	0.0714497586122	-0.0837730870712	-0.031746031746	1	0.128803634584	0.052170963365
Trees	-0.14275426438	-0.0594438409395	-0.080871276082	0.405151461652	-0.0801234412989	-0.116405790185	-0.0966665503374	0.0363453476676	-0.151512633629	-0.0646251049273	-0.119430653593	-0.207926555549	-0.231712013812	-0.203505232631	-0.0659218681248	1	-0.0904698749526
Water Bodies	-0.137430167598	-0.137276785714	-0.4	1.15741239892	0.13279588944	0.0719495367633	-0.083873015873	0.14311127469	0.225319396051	0.0	0.0223359702187	-0.0933333333333	-0.00189528547737	-0.18115942029	0.105306799337	0.0225885225885	1
