	Glass	Graffiti	Ice	Litter	Weeds	Benches	Fences	Paved Surfaces	Play Equipment	Safety Surface	Sidewalks	Athletic Fields	Horticultural Areas	Trails	Lawns	Trees	Water Bodies
Glass	1	0.0149431367363	-0.0154838709677	0.836343905342	0.311210762332	-0.0339928970066	0.0238992762364	0.0613957788596	0.137910376228	-0.00657276995305	-0.0373482726424	-0.123456790123	-0.0963855421687	-0.0389312640536	-0.0259864769402	0.111505676586	0.102162252766
Graffiti	-0.0278406685442	1	-0.0531088082902	0.388531936533	0.021080878682	0.0497564406744	0.0491017446882	0.092632524708	0.0645494740317	-0.0443404360143	-0.0210417838722	-0.00940594059406	-0.0600961538462	-0.057003257329	0.0152691814987	0.247896182124	0.260988835726
Ice	-0.0258064516129	-0.0259067357513	1	0.223262032086	0.0	-0.0281690140845	-0.0286944045911	0.320766008378	0.0929144385027	0.0	-0.0245614035088	0.0	-0.0263157894737	-0.0118343195266	-0.00373134328358	0.106306306306	-0.0159574468085
Litter	-0.241827581193	-0.218184062601	-0.392789039506	1	-0.0751614610905	-0.116044254145	-0.285593534718	-0.0970927980487	-0.105513645147	-0.0975288910745	-0.237829027393	-0.104395604396	-0.279487179487	-0.603741496599	-0.341029935796	-0.19533230501	-0.472213790661
Weeds	-0.0141279714547	-0.0358333467541	0.0	0.227904374609	1	0.0634218289086	-0.00880538418396	0.0637984098487	0.0251492502233	-0.00484688257325	-0.0606641123883	-0.08	-0.11	-0.0968468468468	0.0113904602277	0.103852172866	-0.178082191781
Benches	-0.0598680872653	0.063900203666	-0.056338028169	0.193930335061	0.10288826218	1	0.0135385973923	0.222184154969	0.052132313857	-0.0211807900798	-0.0320395389665	-0.05220473387	-0.0272988505747	0.041875	-0.0144132279778	0.117263179845	0.0660812788472
Fences	0.0727908837294	0.130712564426	-0.0430416068867	0.106357765858	0.0919715614793	0.0568042728385	1	0.27064261253	0.133441558442	-0.0309882747069	0.000779920589904	-0.0130327956415	-0.0281329923274	-0.0214669051878	0.0814814814815	0.301033212302	0.382993197279
Paved Surfaces	-0.117473435655	-0.0627133872417	-0.141268522736	0.105467893684	-0.0482189489146	-0.0795426065163	-0.0425910164732	1	-0.0521230612764	-0.121405375313	-0.0764053037978	-0.0919193244958	-0.138020833333	-0.0648073982378	-0.0866562523621	0.147947656678	-0.122727272727
Play Equipment	-0.0736914176167	0.0593744635562	-0.0789661319073	0.0555609597925	-0.00792331272406	-0.0153457857132	0.0179292929293	0.134482168153	1	-0.0739449430027	-0.0744876721102	-0.0694249649369	-0.0413223140496	-0.03	-0.0550713497564	0.133734126165	-0.0506329113924
Safety Surface	-0.0225352112676	0.102337110482	-0.0190114068441	0.29573283859	0.134174387279	0.0642516846217	0.0638409438497	0.238817791488	0.102443609023	1	-0.026075619296	-0.0054347826087	-0.04	-0.0833333333333	0.0369726296688	0.111504879301	-0.05
Sidewalks	0.0311929900165	0.138814297541	-0.0368421052632	0.353556658395	0.040084755602	0.0285138539043	0.0412120239623	0.329192611367	0.0045148895293	-0.0325945241199	1	-0.0292553191489	-0.0320855614973	0.0531066330814	0.208092689111	0.172488331738	-0.0278422273782
Athletic Fields	-0.0617283950617	-0.0177392739274	-0.0490196078431	0.228021978022	-0.0666666666667	0.0184236453202	-0.0214250614251	0.0976558603491	-0.0145161290323	-0.0652173913043	-0.063829787234	1	-0.0336134453782	-0.0454545454545	-0.0592783505155	0.398631840796	-0.031746031746
Horticultural Areas	-0.021686746988	-0.0216346153846	-0.0350877192982	-0.0230769230769	-0.0166666666667	0.122742200328	-0.0179028132992	-0.0182291666667	0.0	0.0	-0.0133689839572	-0.0252100840336	1	0.320402298851	-0.00831024930748	-0.021897810219	-0.0121457489879
Trails	-0.0533590390034	-0.0895765472313	-0.0828402366864	1.4570337569	0.43490990991	0.041875	-0.0894454382826	-0.0504353434376	-0.06	0.0	-0.0661719654163	-0.0568181818182	-0.0144523326572	1	-0.0903010033445	0.114741594972	-0.0917030567686
Lawns	-0.0247696898923	0.00478913934021	-0.0373134328358	0.236530583636	0.0837679785048	0.0426745582433	-0.00726631393298	0.0916025789034	0.0338934996649	-0.0150224935733	0.0701722464823	-0.0335051546392	-0.0581717451524	-0.0367892976589	1	0.126123166834	-0.0346020761246
Trees	-0.0540008966405	-0.053419080793	-0.116472261735	0.174276261373	0.0190896646577	-0.0941141931157	-0.075173291896	0.0703739761223	-0.0249786057996	-0.11776522285	-0.0998193456512	-0.202063453226	-0.167883211679	-0.00136769139909	-0.0994470148528	1	-0.133226324238
Water Bodies	0.347361237489	-0.0813397129187	-0.191489361702	0.629143811114	-0.0342465753425	-0.0273556231003	-0.0867346938776	-0.075	0.0	0.0	-0.0742459396752	0.0	-0.0445344129555	-0.0786026200873	-0.060553633218	-0.0690208667737	1
