	Glass	Graffiti	Ice	Litter	Weeds	Benches	Fences	Paved Surfaces	Play Equipment	Safety Surface	Sidewalks	Athletic Fields	Horticultural Areas	Trails	Lawns	Trees	Water Bodies
Glass	1	0.168159562277	-0.0796586338495	1.52651938515	0.0075321106703	-0.0277426640294	0.0869971992756	0.281230938453	0.0489193866681	-0.017329135511	0.0131963608141	-0.18829721838	-0.205597582888	-0.101072519355	0.0314889054094	0.195234510366	-0.142505277973
Graffiti	0.0631576149716	1	0.0212961611444	0.817080464465	-0.0311048595127	-0.0507154213037	0.0550704679537	0.162008567388	0.109662751888	-0.0589078719	-0.0227344926129	-0.0436069198751	-0.113619262603	-0.138888888889	0.0100702034235	0.0795886711338	-0.0861204013378
Ice	-0.0629937381631	-0.063283990759	1	0.359271724585	-0.285714285714	-0.024387832449	-0.0691469099748	0.0468807906115	0.0392047565961	-0.0268199233716	0.287323943662	-0.0396475770925	-0.0251572327044	0.0	0.163768115942	0.129937629938	-0.12987012987
Litter	-0.351087083006	-0.394245249733	-0.501798732273	1	-0.422488788026	-0.49442635461	-0.464463815756	-0.345464885049	-0.416570570268	-0.342307591537	-0.537854945998	-0.743338251888	-0.689347069149	-0.613224173078	-0.526235074123	-0.359008414303	-0.717777777778
Weeds	0.121165338045	0.132600867917	0.0	0.90988204327	1	0.022929891873	0.0847825595827	0.219118308592	0.0806146328307	0.0738696302838	0.0644321716498	-0.0556061526007	-0.0614469772052	-0.0299813780261	0.0768183808273	0.162578902764	-0.0762942779292
Benches	0.191765326555	0.135898620919	0.103408176044	0.654615512139	0.015823622284	1	0.083745182146	0.339515804903	0.12793136059	0.0789057546428	0.0996086849578	0.029297070293	-0.0596638655462	-0.030534351145	0.0800735837555	0.146803564768	0.0166666666667
Fences	0.120794399498	0.174498688119	0.060158813657	0.657921444611	0.0477577080897	0.0167510193057	1	0.284092636191	0.0900169250928	0.0761419220681	0.043618759597	0.0046622186856	-0.0997464074387	-0.0553020425902	0.0223830493079	0.180024878665	-0.0162790697674
Paved Surfaces	-0.0107011482095	-0.00160137854868	-0.08113557169	0.544485807559	-0.0606072620346	-0.0568685900203	-0.00507274079151	1	0.00101488825952	-0.0214739741713	-0.0696664581515	-0.15	-0.18855481356	-0.144257926992	-0.041791495334	0.0360764450369	-0.190082644628
Play Equipment	-0.0409833944361	0.0769844981166	-0.0720096952388	0.507094118403	-0.0465293588276	-0.0442459446195	0.00102245428736	0.163432906841	1	0.0161634943404	-0.0108085730916	0.0635960164538	-0.0351648351648	-0.0229885057471	-0.00882936507937	0.0634887635217	-0.121951219512
Safety Surface	0.0112758357868	0.0687024784759	-0.0485312899106	0.338685629374	-0.0162408230294	9.03328477142e-05	0.0304162929632	0.258382106075	0.219106048955	1	0.0289843104872	-0.0447154471545	-0.025641025641	0.0	0.0430960948954	0.0971710027785	-0.0363636363636
Sidewalks	0.106087258132	0.0826651625593	0.078179922911	0.906404780638	0.021861260381	0.0135916507852	0.0618032082357	0.210609503399	0.0677994601399	0.0769011335485	1	0.0819249379567	-0.0922288642186	-0.075055187638	0.0614442441727	0.156566462224	-0.0993788819876
Athletic Fields	0.154378125332	0.0771765522026	-0.057268722467	0.86999001569	0.0934816549571	0.0152621101526	0.0258945009205	0.123417207792	-0.0165299527716	-0.0975609756098	0.0424242424242	1	-0.0529953917051	-0.0251256281407	0.0779289008231	0.012887355953	-0.0103092783505
Horticultural Areas	-0.0209895052474	-0.0210684725357	-0.00314465408805	0.691365510551	-0.0267591674926	-0.0109243697479	-0.0169061707523	0.103707224335	-0.0021978021978	0.0	-0.0239111870196	-0.00230414746544	1	0.0	0.998959417274	-0.0211960635882	0.0
Trails	0.151347267691	0.151262626263	-0.0271739130435	0.649701393497	0.0271661737321	-0.0248091603053	0.105290190036	0.0779250283983	-0.0114942528736	-0.0294117647059	-0.0264900662252	-0.00502512562814	-0.015243902439	1	0.0142930723667	0.287195902689	0.121450415028
Lawns	0.079400572589	0.0943144673921	-0.058948700253	0.81609994405	0.0197598844968	0.00407963419299	0.0241932046505	0.159710886101	0.0346248876909	0.0302208230632	0.0261510009409	0.109315125758	-0.0584846032297	0.00467422096317	1	0.1318767507	-0.0228215767635
Trees	0.0972494097971	0.0138115563483	0.0361871101871	0.680319447025	-0.050367218602	-0.067010673108	-0.038003201119	0.10694904534	0.0091813298667	-0.0979231568017	-0.0332047947968	-0.171789644063	-0.236184708554	-0.194502498864	-0.0310734463277	1	-0.0684330778302
Water Bodies	-0.0766283524904	-0.0769230769231	-0.181818181818	1.05092592593	-0.0435967302452	0.0507518796992	-0.077519379845	-0.0743801652893	-0.0487804878049	0.0	-0.111801242236	-0.0412371134021	-0.123552123552	0.948012232416	-0.0663900414938	0.1796875	1
