,Glass,Graffiti,Ice,Litter,Weeds,Benches,Fences,Paved Surfaces,Play Equipment,Safety Surface,Sidewalks,Athletic Fields,Horticultural Areas,Trails,Lawns,Trees,Water Bodies
Glass,1.0,0.0632181621505,-0.0460916182024,0.0848546782483,0.0417666723813,0.0512554332435,0.0614903896828,0.0498910959897,0.00520175708511,-0.00226002232386,0.0437501166545,-0.0241085677391,-0.0552483101503,0.0557922381091,0.0403027606873,0.068452507302,-0.00571742715778
Graffiti,0.0964250649064,1.0,-0.00430551908112,0.0452303701477,0.0358424636629,0.0321530819054,0.106396092109,0.0539681136043,0.0794003383967,0.000792975699735,0.0310400843509,0.0251339705326,-0.074398249453,-0.0507343905436,0.0542378612961,0.030563922961,-0.0481183092374
Ice,-0.0266057308323,-0.00168890527491,1.0,0.00527389587655,-0.0714285714286,0.0184444865479,-0.000462089777442,0.00435955296223,-0.00792591070939,-0.0113493064313,0.0165243357087,-0.0128755364807,-0.00617283950617,0.0,-0.000755977496484,0.0199166091918,0.110599078341
Litter,0.443823243583,0.15496128422,0.0475426201812,1.0,0.222424500084,0.0762461564551,0.115666039206,0.091528150134,0.00434092315367,0.00733576126452,0.152090954029,0.122851208626,0.0897009966777,0.117453416149,0.144876765981,0.129725567694,-0.0463709677419
Weeds,0.038505610874,0.0214214724235,0.0,0.0394505400545,1.0,0.0178205834982,0.0475716505954,0.0310483238216,0.0265432168891,0.0375728612288,0.0428946656033,0.013527841043,-0.0507662835249,9.9383820314e-05,0.0364716179045,0.0279427048145,-0.0606860158311
Benches,0.0420342454871,0.0172407896812,0.0266420361248,0.0126019715051,0.0186723025624,1.0,0.0381038787597,0.0571671338793,0.0219411453764,0.0304076059926,0.0392794125354,0.0243902439024,-0.0559157212318,-0.0238970588235,0.0331206092295,0.0272188126655,0.0257459505541
Fences,0.0664096208574,0.0756421851931,-0.0007159137397,0.0238417115331,0.0589509158541,0.0490067585228,1.0,0.0725183929829,0.0290890562295,0.0337843532001,0.0494695751444,0.0219824531391,-0.0815660685155,0.0483554392434,0.0262458712275,0.0431245669662,-0.0262426331591
Paved Surfaces,0.0968995953223,0.0705486786274,0.0273599530733,0.0348367346939,0.0731929558132,0.135628615622,0.13467701554,1.0,0.0740984619387,0.116535890729,0.0822671319182,-0.0154665663972,-0.0416336241079,-0.0016713091922,0.0601607945962,0.0526680597956,-0.0905432595573
Play Equipment,0.00998231926454,0.068579666129,-0.0217396408029,0.00151150497461,0.0480855378426,0.0413849246125,0.0415430864195,0.0519254870685,1.0,0.135631625923,0.0328212290503,0.0138627819549,-0.0339702760085,-0.0227272727273,0.0129722716298,0.0213929811635,-0.119047619048
Safety Surface,-0.00418439776794,0.000347861981487,-0.0403530895334,0.00159818344193,0.0413034999323,0.0354432604882,0.0289580170286,0.0481681681682,0.0576434410175,1.0,0.0242714664173,-0.0458333333333,-0.0277777777778,0.0,0.0195306993577,-0.0140812079388,-0.0357142857143
Sidewalks,0.0441865267957,0.0220072555716,0.0266708576351,0.0280315081148,0.0499900238235,0.0482000117193,0.0467555336153,0.0400278249387,0.0214829862875,0.0250805152979,1.0,0.0373931623932,-0.0785773366419,-0.0489361702128,0.0372710634309,0.027828587316,-0.0600600600601
Athletic Fields,-0.0139930847716,0.0196803731529,-0.0557939914163,0.0179551766454,0.0103358785497,0.0277777777778,0.0167389322069,-0.00840799918237,0.0221804511278,-0.104166666667,0.0364811340421,1.0,-0.0526315789474,-0.0245098039216,0.100820110537,-0.0188734030197,-0.010101010101
Horticultural Areas,-0.00394630786788,-0.00948212983224,-0.00308641975309,0.00217897157922,-0.0114942528736,-0.00567260940032,-0.00652528548124,-0.00336172120126,-0.00212314225053,0.0,-0.010752688172,-0.00219298245614,1.0,0.0,0.0146339197225,-0.00953079178886,0.0
Trails,0.0145820622331,-0.0166698711786,-0.027027027027,0.00954568399798,5.77067343759e-05,-0.0257352941176,0.01853625171,-0.00045789292937,-0.0113636363636,-0.0294117647059,-0.0276595744681,-0.00490196078431,-0.0174927113703,1.0,0.0119281922825,0.00340470965063,0.176119402985
Lawns,0.0419379562283,0.0425027603975,-0.0045358649789,0.0312773674398,0.0480698718741,0.0481863015144,0.0286505976489,0.0365865506463,0.0124518939713,0.0344246139759,0.0484175496907,0.0917721518987,0.93657086224,0.0119281922825,1.0,0.038787918636,0.042375168691
Trees,0.118138259793,0.0345878713981,0.0480341751096,0.0417844991755,0.0558854096289,0.054437625331,0.0690544771677,0.0453547586105,0.0222430333951,-0.0241051186749,0.0463574948201,-0.0382015868351,-0.16715542522,0.0170235482532,0.0588537241197,1.0,0.184880952381
Water Bodies,-0.00147267063155,-0.0143510746848,0.154838709677,-0.00354993054484,-0.0290237467018,0.0241368286445,-0.00991388363789,-0.0321931589537,-0.0119047619048,0.0,-0.048048048048,-0.010101010101,-0.0561797752809,0.110074626866,0.0529689608637,0.0441506751955,1.0
