,Glass,Graffiti,Ice,Litter,Weeds,Benches,Fences,Paved Surfaces,Play Equipment,Safety Surface,Sidewalks,Athletic Fields,Horticultural Areas,Trails,Lawns,Trees,Water Bodies
Glass,1.0,0.0385411715087,-0.00204795948764,0.0309067534386,0.0215107937129,0.018568453026,0.0154952180322,0.0321997130065,0.00834896367666,0.0277872327258,0.00750415482895,0.0379451426938,0.0184853905784,-0.0643564356436,0.0111945412075,0.0022278107843,-0.0502004008016
Graffiti,0.139531407013,1.0,-0.0267669961066,0.0584988669687,0.07690059692,0.047051421835,0.0813329100505,0.0502234310279,0.0716347129235,0.030086674408,0.0243146220526,0.0614216701173,0.0123683847533,-0.0868486352357,0.0216379464226,0.0370317223498,0.0656626506024
Ice,-0.00165677621472,-0.00523702097738,1.0,-0.00376686682444,0.0,0.000398724082935,-0.00781462971377,0.0042571516861,0.000404373706004,-0.00298953662182,0.00158890654341,-0.00600600600601,-0.002331002331,0.0,0.00777375197085,0.0183426651736,-0.0243902439024
Litter,0.26676943468,0.150254962137,-0.045045449109,1.0,0.211278791321,0.180605290516,0.156423715114,0.0932684884551,0.0173756016409,0.0584949309808,0.150931492362,0.165468087839,-0.126171352075,0.0911458333333,0.093855772351,0.0982910427767,0.06
Weeds,0.0577675025506,0.0591603169395,0.0,0.0641101536862,1.0,0.0665513284184,0.0612239171404,0.0474257604122,0.0253630808615,0.020877400684,0.0483684210526,0.0219499849517,0.197748896213,0.258503401361,0.0640801584528,0.066024257679,0.0569105691057
Benches,0.0426757911875,0.0287675613348,0.00158562367865,0.0457228583586,0.0580143993937,1.0,0.0681617878502,0.0616404529726,0.0342566811832,0.0444092455708,0.109042289414,0.0218948229998,-0.0194751381215,-0.0517711171662,0.00857128724765,0.040312080236,0.0979952519124
Fences,0.0335237142168,0.0474993827016,-0.0213753106877,0.0362340451964,0.0494217162459,0.0664140497002,1.0,0.0802021780791,0.0475009616901,0.0698269278771,0.0437489487382,0.0541521725381,0.0321995464853,0.282051282051,0.0397518321414,0.0546769986717,-0.031589958159
Paved Surfaces,0.144331504913,0.0629992314569,0.0909027095325,0.0454631744551,0.0810847887739,0.124056257555,0.168993750714,1.0,0.0922419465085,0.123917713043,0.126584658263,0.0181422228248,-0.00787878787879,-0.159898477157,0.0551134446042,0.0908326323258,-0.155436361605
Play Equipment,0.0253947645165,0.0478970536368,0.00186011904762,0.00580336471678,0.0284333485448,0.0492439792009,0.0592652185573,0.0554163972074,1.0,0.0732246186218,0.0169090321026,0.0404526572124,-0.0405844155844,-0.0357142857143,0.0313357733467,0.0231600067452,-0.0265486725664
Safety Surface,0.066720756545,0.0126791690949,-0.0560538116592,0.01409657549,0.0164945603598,0.0495649363495,0.0613325180941,0.0518668413922,0.0430435171705,1.0,0.05848659477,-0.00981588851592,-0.128834355828,0.0,0.0145161961429,0.0174733345234,0.0
Sidewalks,0.016058891334,0.013468496426,0.00441058540497,0.0310757258798,0.033152958153,0.0852319424908,0.0380479525854,0.0557008432384,0.0105211755305,0.0507130600221,1.0,0.0248083978061,-0.0668431502316,-0.068345323741,0.0266784452297,0.034839104181,0.00721500721501
Athletic Fields,0.10139439769,0.0427051955322,-0.0930930930931,0.0399088152487,0.0145961828867,0.0227369315767,0.0467026673212,0.0114619469785,0.0542149014187,-0.0123765550853,0.0293687650499,1.0,0.143939393939,-0.0192307692308,0.0569229061031,0.00648446436169,0.141176470588
Horticultural Areas,0.00245214364816,0.00148878705364,0.0,-0.00269405022224,0.0189024680204,-0.00112573052726,0.00249824067558,-0.000328282828283,-0.00811688311688,-0.0122699386503,-0.00794176042356,0.0117501546073,1.0,0.0,0.00747720364742,0.0199363491703,0.0
Trails,-0.00742574257426,-0.00744416873449,0.0,0.00123727375566,0.0352504638219,-0.00817438692098,0.0423076923077,-0.00761421319797,0.0,0.0,-0.00719424460432,0.0,0.0,1.0,0.0692307692308,-0.0075,-0.00888888888889
Lawns,0.0217578112942,0.0118275215615,0.274672569637,0.018762833923,0.0445395309178,0.00663450599457,0.0341122988618,0.0243189873058,0.0217309386044,0.0152688877947,0.0257141640768,0.0311178553364,0.0654255319149,0.3,1.0,0.0346882013057,-0.0333333333333
Trees,0.00900994361498,0.0360148329489,0.0749656750572,0.0368633186612,0.0880916645582,0.0609262121749,0.0885483342124,0.0724174115609,0.0291755929128,0.0322083106514,0.0652401059186,0.00998527947721,0.381857764877,-0.1,0.0659211325594,1.0,0.0118329466357
Water Bodies,-0.0200801603206,0.0312679288583,-0.0894308943089,0.00574162679426,0.0256097560976,0.047597693786,-0.0161999785431,-0.0301356211274,-0.0353982300885,-0.0588235294118,0.00202922077922,0.235294117647,-0.0550847457627,-0.0622222222222,-0.0461538461538,0.00622786665038,1.0
