,Glass,Graffiti,Ice,Litter,Weeds,Benches,Fences,Paved Surfaces,Play Equipment,Safety Surface,Sidewalks,Athletic Fields,Horticultural Areas,Trails,Lawns,Trees,Water Bodies
Glass,1.0,0.0643646150858,0.0604704374886,0.0661106746097,0.0678162195004,0.000767096136136,0.0318132956694,0.0321395096992,-0.00583288496185,-0.00479254662704,0.00995582072297,0.0494430330272,-0.0566695727986,0.079354094579,0.0358565602891,0.0277172869275,-0.0159901599016
Graffiti,0.144256880504,1.0,0.0311092768377,0.0589432572329,0.114963666402,0.0532523755907,0.0806172156453,0.0589703388267,0.040065252639,0.0126009328452,0.0268041064136,0.102822353339,-0.039651416122,0.000922722029988,0.0389571213101,0.0470792935592,-0.036855036855
Ice,0.0394372418404,0.00999941041212,1.0,0.000234482758621,0.0,0.0121527777778,0.00693802035153,-0.00939753352652,-0.00750360750361,0.00870003577585,-0.00170420865442,0.0227513227513,-0.0130111524164,-0.0258064516129,-0.00629722921914,0.0175624518891,-0.0186046511628
Litter,0.531026633302,0.233768958186,0.00333072100313,1.0,0.276630372928,0.102531873385,0.14603168664,0.144373677495,-0.0200051728785,0.0180711756801,0.12775899254,0.0894134956196,0.0948824681685,0.0744990892532,0.1827706982,0.118213524424,0.0566298342541
Weeds,0.0864746502625,0.0638392709743,0.0,0.0438933802062,1.0,0.0352990537725,0.0549934270347,0.0373413361029,-0.00199966107439,-0.00755014649538,0.0364692510531,0.0315870570108,0.0654576856649,-0.0197990543735,0.0312988199189,0.0464904313438,-0.0287162162162
Benches,0.00191070276111,0.0536475694726,0.0423387096774,0.0272081786915,0.0702757417572,1.0,0.0865295475324,0.053498227484,0.0281662891354,0.0276855791436,0.0428377871347,0.105589651591,-0.0575605299223,0.0502754820937,0.0462394820875,0.0255909194158,-0.0569536423841
Fences,0.0641256234277,0.0726830081301,0.0177304964539,0.0345904098118,0.0939372702138,0.0777941836863,1.0,0.0667808892647,0.0180728618741,0.0229470407729,0.0310954943392,0.0636583020682,0.0390629518943,0.0235902990913,0.0694085794325,0.0356531183888,-0.0372208436725
Paved Surfaces,0.156034168657,0.129671899587,-0.0988481304271,0.0819601744689,0.149836033522,0.114096219737,0.160620701725,1.0,0.0530740942014,0.140980459656,0.143073674616,0.060516563517,-0.085235586772,-0.0182343383282,0.0537521614568,0.0937285477664,0.135526551046
Play Equipment,-0.0429756236844,0.0553487649604,-0.0521303258145,-0.0104260261286,-0.00733688595641,0.0494705361586,0.0282388466784,0.0427994939137,1.0,0.0898995384198,0.0265448577453,-0.00106239460371,-0.0168831168831,-0.0103092783505,0.0388620360425,-0.000885643050457,-0.0786026200873
Safety Surface,-0.0652128666036,0.0134104899833,0.160950661853,0.00867312872898,-0.0256704980843,0.0394112361926,0.0319682056569,0.0972553170936,0.0560584683109,1.0,0.0160945370012,0.0205571919489,-0.0625,-0.0869565217391,-0.014325586694,0.0169365274753,-0.046511627907
Sidewalks,0.0236138059359,0.0281145293938,-0.00578398088772,0.032677117776,0.0658269981508,0.0436798075206,0.0376637939456,0.0774840803146,0.0196201122465,0.0179515989628,1.0,0.0391750922805,-0.0238916256158,0.0582010582011,0.0395887414917,0.048229057885,-0.0699300699301
Athletic Fields,0.108957795004,0.114462619755,0.34126984127,0.0325451420838,0.0661824051655,0.135109339133,0.0636583020682,0.0495899617709,-0.00196739741428,0.057560137457,0.0687411996621,1.0,-0.0786516853933,-0.0281690140845,0.0710137157664,0.0840933697111,-0.0751879699248
Horticultural Areas,-0.0104620749782,-0.0104575163399,-0.00743494423792,0.00398108258049,0.021819228555,-0.0100502512563,0.0083189619775,-0.00532722417325,-0.00519480519481,0.0,-0.00353950009122,-0.00449438202247,1.0,-0.00508905852417,0.00215267428382,0.00828591394629,-0.00437636761488
Trails,0.0267485712064,0.000728464760517,-0.0387096774194,0.0113450389726,-0.0182760501909,0.0377066115702,0.0263122566787,-0.00409919233735,-0.020618556701,-0.0434782608696,0.0127314814815,0.0,-0.0229007633588,1.0,-0.0519713261649,-0.012172101803,-0.0248447204969
Lawns,0.0526092155061,0.0298448332783,-0.0554156171285,0.036810414679,0.0432754091736,0.0363001541621,0.0655216989843,0.0189807335708,0.0227777486316,-0.0104639068026,0.0292130662407,0.034861278649,0.0133196721311,-0.0322580645161,1.0,0.0405930074986,-0.029702970297
Trees,0.0807605654396,0.062268869556,0.0654600479503,0.0405807621157,0.113577889232,0.0334049406115,0.0531173491442,0.0565819494042,-0.000749963727912,0.0169365274753,0.0595831989422,0.0911600394348,0.0731922398589,-0.023474767763,0.0685007001539,1.0,-0.0629722921914
Water Bodies,-0.00984009840098,-0.00982800982801,-0.0186046511628,0.00323599052881,-0.00675675675676,-0.00927152317881,-0.00992555831266,0.00790571547768,0.0,0.0,-0.0122377622378,0.0,-0.0109409190372,-0.00621118012422,-0.00990099009901,-0.0100755667506,1.0
