,Glass,Graffiti,Ice,Litter,Weeds,Benches,Fences,Paved Surfaces,Play Equipment,Safety Surface,Sidewalks,Athletic Fields,Horticultural Areas,Trails,Lawns,Trees,Water Bodies
Glass,1.0,0.0448345914133,-0.00693209673164,0.051187605584,0.0326123585563,0.0219894974664,0.0276362624054,0.0311457050868,0.00208275586875,0.00753696367397,0.0153630469095,0.0249908577375,-0.0416849864662,0.00883250739575,0.0179131229651,0.0229394886795,0.0204326220403
Graffiti,0.115015671839,1.0,-0.02361440415,0.0554573423618,0.072373246636,0.0554367286352,0.0888894759454,0.0591272386121,0.0631164294684,0.023962083862,0.0288030397443,0.0538507035887,-0.0272098198164,-0.0384221818782,0.0372747418406,0.0391407034371,0.010428354915
Ice,-0.00602544647791,-0.00737083652041,1.0,-0.00366368004913,-0.00869565217391,0.00452709822301,-0.00344706249109,-0.000124519673601,0.000928125606744,-0.00183397070531,0.00286696887624,0.00268147733708,-0.0096790626592,-0.00783289817232,0.000417603029391,0.0140682817383,3.83891896042e-05
Litter,0.379448766555,0.171056930933,-0.0362400962822,1.0,0.222072485922,0.124295008302,0.122328067355,0.101732753206,0.0129653124325,0.0416454746766,0.14100223108,0.0955303825618,-0.0258143470593,0.0712145969499,0.120682101461,0.100618348398,0.14401725791
Weeds,0.056955980812,0.0505198684333,0.0,0.0534613241397,1.0,0.0493650395968,0.0580855191658,0.0434441893389,0.0188150108713,0.0194559404038,0.0484504446744,0.0358630633068,0.0510943466518,0.0428805154286,0.0469181053225,0.0454702303642,0.0187312554573
Benches,0.0410756554324,0.037645406422,0.0118689725432,0.0302346768618,0.0545526457702,1.0,0.0627291247438,0.0598591487877,0.0361791067765,0.0409716328889,0.05720087095,0.047350127401,-0.0180387504943,0.0269823858781,0.0286848347327,0.0289095118888,0.0559858328533
Fences,0.0488253203479,0.060368037141,-0.0069170290519,0.0283668330033,0.0599073336718,0.0631478423057,1.0,0.0703563924353,0.0371699321778,0.0421419167751,0.0408914788068,0.0473004760858,-0.00347428607498,0.00755067175669,0.0389345743737,0.0442785857495,-0.00436911425386
Paved Surfaces,0.116780361626,0.0866508884997,-0.00145583281939,0.0497262047486,0.0955225411107,0.12648011934,0.149921442779,1.0,0.0754185857978,0.123188679872,0.109593548453,0.0344872933954,-0.0698230249954,-0.00794146238443,0.0507052100491,0.0768512629585,-0.0401599164256
Play Equipment,0.00641131162627,0.04739117571,0.00334259729385,0.00456552922545,0.0272318827996,0.0506977908789,0.0447453765426,0.0442450716582,1.0,0.0796676194449,0.0198087588804,0.0371937565859,-0.0281385281385,-0.0228426395939,0.0171260980973,0.0103925851588,0.00895080946451
Safety Surface,0.0240079025953,0.0123830903179,-0.0212434940032,0.0121862061645,0.0213841802852,0.0458155697822,0.0390382215531,0.0553182347562,0.0495828450326,1.0,0.0319221408541,0.0438695332101,-0.0664335664336,-0.0340909090909,0.0115988914374,0.0187048345031,-0.0374331550802
Sidewalks,0.0257686487065,0.0184903936047,0.00622401790227,0.0282220841776,0.0433340324889,0.0478858583234,0.0358229171281,0.0482501463893,0.012977745544,0.0280318571737,1.0,0.0196533304279,-0.0160987609329,-0.0154862142975,0.0346385139107,0.0294233196769,-0.00851246468042
Athletic Fields,0.04194630694,0.0482181418821,0.0378758673863,0.0241190569834,0.0301545232674,0.0540191594293,0.0447693469307,0.0220422180638,0.0608131494543,0.0742407485095,0.0278555333707,1.0,0.016835016835,-0.0394265232975,0.0654239700897,0.00975920176036,0.0161082474227
Horticultural Areas,-0.00552269330678,-0.00456624562436,-0.00509424350484,-0.000800008136714,0.0089914632376,-0.00188412480985,-0.000427232394371,-0.00441917879718,-0.00396825396825,-0.0034965034965,-0.0023850016197,0.00112917795845,1.0,0.0193189564355,0.0032101075357,0.0022568229127,0.0125562732433
Trails,0.00440118115966,-0.0242841495854,-0.0443864229765,0.00854575163399,0.0342427137595,0.0232174018021,0.00718105845392,-0.00257618484857,-0.0228426395939,-0.0340909090909,-0.0115186717915,-0.0232974910394,0.170006816633,1.0,-0.0172115124835,0.0147454355599,-0.0263775130305
Lawns,0.0289483879693,0.0264183933594,0.00441330474243,0.0267545085384,0.0473601728977,0.0274804535509,0.038815871403,0.024246157294,0.01438382104,0.0131974156156,0.0391456940341,0.043902927297,0.0376928755805,-0.0106376709099,1.0,0.0337380361587,0.0349249018604
Trees,0.0747933256441,0.0473361161406,0.0477038478489,0.0395950907696,0.0822455263955,0.0495710994525,0.0774342201831,0.0640377870783,0.0138071628346,0.0317150223055,0.0576890485896,0.0175700116498,0.0344706513378,0.0388365697141,0.0603907536344,1.0,0.0422976961367
Water Bodies,0.0107028020211,0.00538553540214,0.000136761487965,0.0141193390108,0.0070408265194,0.0279929164266,-0.00285169732737,-0.00858653001527,0.00333053375424,-0.00534759358289,-0.00545096422518,0.00954562810233,0.107625199228,-0.0152913119018,0.0266230809264,0.0124404988637,1.0
