,Glass,Graffiti,Ice,Litter,Weeds,Benches,Fences,Paved Surfaces,Play Equipment,Safety Surface,Sidewalks,Athletic Fields,Horticultural Areas,Trails,Lawns,Trees,Water Bodies
Glass,1.0,0.0339452214452,-0.0142094366351,0.0355796063967,0.0258890960054,0.038342925475,0.0129309717652,0.0261270720552,-0.00298394949273,0.00584660428999,0.0049934479075,0.0370927034002,-0.0565177757521,0.000161899622234,-0.000823849903698,0.0175510145994,0.000854760089634
Graffiti,0.107674638287,1.0,-0.0564725423025,0.0526772419047,0.0578417442409,0.0716499016608,0.0779175053091,0.0741494584659,0.0777165729099,0.038162372387,0.0289759805025,0.0249014781466,0.0180526590198,-0.0220588235294,0.030648383673,0.0326335731782,-0.0160151382286
Ice,-0.0218902131946,-0.021897516403,1.0,-0.0146043753612,0.0,0.00506264568765,-0.00484913205985,0.000146497400218,0.0302119460501,-0.00589721988206,0.00315354501957,-0.00228310502283,-0.0107913669065,0.0,-0.000723385443877,0.00531972106197,-0.00436681222707
Litter,0.295037043812,0.152922941478,-0.106883348882,1.0,0.220049190375,0.101766592764,0.0870788603804,0.08911203009,0.0560130924419,0.0487532665877,0.107581917573,0.0225707128692,-0.0785822675049,-0.0194163602941,0.0935104769433,0.0903218340214,0.226678319415
Weeds,0.0522666655204,0.039197324143,0.0,0.0565198887691,1.0,0.0447736161018,0.0545300705507,0.050701924381,0.033708314006,0.0374473588576,0.0731235386391,0.0725044080471,0.0192543652666,0.00838874680307,0.0413502060853,0.0306003316227,0.080029154519
Benches,0.0846845407014,0.0458586954807,0.0106074481074,0.0263738265429,0.0494085660089,1.0,0.0559404320314,0.0689400223899,0.0750190928762,0.0502897059054,0.0159232787479,0.0469413091121,0.0551285634433,0.0170886075949,0.03476691581,0.0232445150285,0.0568851303735
Fences,0.0270693535447,0.0507933926119,-0.00790408525755,0.0222351859771,0.0564584423973,0.0579730227687,1.0,0.0618832772166,0.0491621183065,0.0311393189851,0.0384246103588,0.0403743418271,-0.0523993381136,0.0198830409357,0.0238447855582,0.0395118150463,-0.00324031532621
Paved Surfaces,0.110305715452,0.100186672889,0.00169448659585,0.0437465455774,0.104523967185,0.141721582172,0.125500746568,1.0,0.0891685878135,0.107837423313,0.0552701561974,0.0572422919821,-0.107426436245,0.0681523405259,0.0450257114212,0.0670170277334,0.00150829562594
Play Equipment,-0.00691110141132,0.033331030192,0.0566473988439,0.0128387007017,0.0312395360788,0.0620411063449,0.035884757888,0.0320449612455,1.0,0.0357875449256,-0.00545097810339,0.0775118154671,-0.0228716645489,0.0,-0.0016615106851,0.00223778266842,0.0636982065553
Safety Surface,0.0178250130792,0.0174696784244,-0.0775063184499,0.0147709711037,0.0370489826995,0.0504259923713,0.0254464478931,0.0450323315616,0.0373869882742,1.0,0.01471658613,0.136904761905,-0.0301204819277,0.0,0.0170212245248,0.0368535721876,-0.04
Sidewalks,0.00852041854849,0.0146965659692,0.00508771929825,0.0187079481351,0.0552090859658,0.0101146053752,0.0248590522669,0.0210161870156,-0.00382433701857,0.00946066251212,1.0,-0.00404914409859,0.0965271064178,-0.00686274509804,0.0295861057639,0.0224741471595,0.0508438818565
Athletic Fields,0.105390379502,0.027027214086,-0.0776255707763,0.00626518008469,0.0559544888189,0.0627051815751,0.0452294841987,0.038304992379,0.186553860955,0.209090909091,-0.0078601032502,1.0,-0.0715268225585,-0.0704225352113,0.0613586848881,0.0021317020511,-0.0474137931034
Horticultural Areas,-0.00638103919781,0.00216014723314,-0.00179856115108,-0.00190008936972,0.00266283774964,0.00352822806037,-0.00330943188086,-0.00653900046707,-0.0012706480305,0.0,0.0151840392118,-0.00137551581843,1.0,0.0,-0.00189393939394,-0.0010886216738,0.0413308341143
Trails,0.000114678899083,-0.0125,-0.0608108108108,-0.00234931049822,0.00748995250274,0.0262901655307,0.0248538011696,0.0303922599642,0.0,-0.111111111111,-0.00588235294118,-0.0492957746479,-0.046875,1.0,-0.00859538784067,0.0360892270696,-0.0827586206897
Lawns,-0.00195950411123,0.0249268661502,-0.00862895493768,0.0259465883826,0.050238568141,0.0389790613793,0.0271082142386,0.0264786434603,-0.00236264462669,0.020411906701,0.0479900613178,0.0484410670169,-0.072601010101,-0.00455049944506,1.0,0.027366203596,0.0803521779425
Trees,0.085322259092,0.0454461870561,0.0176034406051,0.0444490378883,0.0659819650615,0.0489549068464,0.0823710758454,0.0701678282911,0.00561175911437,0.0750799135398,0.0641976742261,0.00478127522195,-0.0280708874459,0.112642132975,0.0489299489859,1.0,0.0144641683103
Water Bodies,0.000692650417462,-0.0139391017916,-0.113537117904,0.0325048156142,0.0333454810496,0.0499196042053,-0.00354891678585,0.000433893262257,0.0875850340136,0.0,0.15253164557,-0.0431034482759,0.454639175258,-0.0551724137931,0.0513727039305,0.00471657662293,1.0
