 ZIPCODE "Overall Condition"
0 10001 0.0
1 10002 0.5
2 10003 0.0
3 10004 0.0
4 10005 0.0
5 10007 0.0
6 10009 0.625
7 10010 0.5
8 10011 0.0
9 10012 0.08333333333333333
10 "10012, 10013" 0.0
11 10013 0.0
12 10014 0.0
13 10016 0.5
14 10017 0.0
15 10018 0.0
16 10019 0.0
17 10021 1.0
18 "10021, 10028, 10065, 10075" 0.0
19 10022 0.0
20 10023 0.125
21 10024 0.0
22 "10024, 10027" 0.0
23 10025 0.42857142857142855
24 10026 0.0
25 10027 0.5714285714285714
26 "10028, 10029, 10035, 10128" 1.0
27 10029 0.6153846153846154
28 "10029, 10128" 1.0
29 10030 0.5
30 10031 0.375
31 10032 0.0
32 10033 0.5
33 10034 0.0
34 10035 0.45454545454545453
35 10036 0.0
36 10037 0.7142857142857143
37 10038 0.2222222222222222
38 10039 0.5714285714285714
39 10040 0.5
40 10065 0.5
41 10128 0.0
42 10280 0.0
43 10301 0.26666666666666666
44 10302 0.3333333333333333
45 10303 0.0
46 10304 0.375
47 "10304, 10305" 0.0
48 10305 0.25
49 10306 0.2857142857142857
50 10307 0.0
51 10308 0.6
52 10309 0.0
53 10310 0.0
54 10312 0.3
55 10314 0.1111111111111111
56 10451 0.25
57 "10451, 10456" 1.0
58 10452 0.375
59 "10452, 10457" 0.0
60 10453 0.6875
61 10454 0.45454545454545453
62 10455 0.3333333333333333
63 10456 0.3888888888888889
64 10457 0.11764705882352941
65 10458 0.25
66 10459 0.21428571428571427
67 "10459, 10472" 0.0
68 10460 0.23076923076923078
69 "10460, 10462" 0.0
70 10461 0.25
71 10462 0.0
72 "10462, 10472" 0.0
73 10463 0.3333333333333333
74 "10463, 10463" 1.0
75 "10463, 10468" 0.3333333333333333
76 "10463, 10471" 0.5
77 10464 0.0
78 10465 0.0
79 10466 0.6666666666666666
80 10467 0.2
81 10468 0.5
82 10469 0.0
83 10470 0.0
84 10471 0.16666666666666666
85 10472 0.2222222222222222
86 10473 0.14285714285714285
87 10474 0.16666666666666666
88 10475 0.0
89 11004 0.3333333333333333
90 11101 0.1875
91 11102 0.4444444444444444
92 11103 0.3333333333333333
93 11104 1.0
94 11105 0.2
95 11106 0.5
96 11201 0.17857142857142858
97 11203 0.42857142857142855
98 11204 0.5
99 11205 0.16666666666666666
100 11206 0.55
101 11207 0.6
102 11208 0.5833333333333334
103 11209 0.14285714285714285
104 "11209, 11228" 0.0
105 11210 0.25
106 "11210, 11230" 0.0
107 11211 0.2564102564102564
108 11212 0.3
109 11213 0.25
110 11214 0.7142857142857143
111 11215 0.15384615384615385
112 11216 0.5714285714285714
113 11217 0.14285714285714285
114 11218 0.45454545454545453
115 11219 0.0
116 "11219, 11220" 1.0
117 11220 0.5714285714285714
118 11221 0.4444444444444444
119 11222 0.2222222222222222
120 11223 0.4
121 11224 0.125
122 11225 0.4
123 11226 0.0
124 11228 0.3333333333333333
125 11229 0.1111111111111111
126 11230 0.4
127 11231 0.08333333333333333
128 11232 1.0
129 11233 0.4666666666666667
130 11234 0.4
131 11235 0.5
132 11236 0.5555555555555556
133 "11236, 11239" 1.0
134 11237 0.5
135 11238 0.4444444444444444
136 11354 0.1
137 "11354, 11356" 1.0
138 11355 0.75
139 11356 0.3333333333333333
140 11357 0.125
141 11358 0.25
142 11360 0.3333333333333333
143 "11360, 11361" 0.0
144 11361 0.25
145 11362 0.0
146 11363 0.0
147 11364 0.0
148 11365 0.2857142857142857
149 11366 0.0
150 11367 0.125
151 11368 0.3333333333333333
152 "11368, 11372" 0.0
153 11369 0.18181818181818182
154 11370 0.1
155 11372 1.0
156 "11372, 11373" 0.0
157 11373 0.4
158 11374 0.2
159 11375 0.16666666666666666
160 11377 0.29411764705882354
161 11378 0.13333333333333333
162 11379 0.5
163 11385 0.23076923076923078
164 11411 1.0
165 11412 1.0
166 11413 0.3333333333333333
167 "11413, 11422" 1.0
168 11414 0.3333333333333333
169 11415 0.0
170 11416 0.0
171 11417 0.3
172 11418 0.0
173 11419 0.0
174 11420 0.25
175 11421 0.0
176 11422 1.0
177 11423 0.2
178 11426 0.0
179 "11426, 11427" 1.0
180 11427 0.5
181 11428 0.0
182 11429 0.0
183 11432 0.2857142857142857
184 11433 0.5
185 11434 0.8
186 11435 0.3333333333333333
187 11436 0.5
188 11691 0.4
189 "11691, 11692" 0.0
190 11692 0.0
191 11693 0.0
192 11694 0.1
