,ZIPCODE,Normalized Score,GEOID,NameofArea,QualifyingName,AbbreviationUSPS,SummaryLevel,GeographicComponent,FileIdentification,LogicalRecordNumber,ZipCode3,ZipCode5,GeographicIdentifier,PopulationDensity,AreaLand,TotalPopulation,Median Age,MinorityPercentage,PercentageUnemoployment,MedianhouseholdIncome,HouseholdsGiniIndex
0,10001,0.955859475,10010001,10001 ZCTA5,10001 ZCTA5,us,860,0,ACSSF,13039,100,10001,86000US10001,35349.6,0.6213932,21966,34.7,36.52462897,9.099149352,81671.0,0.6121
1,10002,0.863229719,10010002,10002 ZCTA5,10002 ZCTA5,us,860,0,ACSSF,13040,100,10002,86000US10002,93461.17,0.8794134,82191,39.8,68.91995474,11.62639452,33218.0,0.5622
2,10003,0.927280604,10010003,10003 ZCTA5,10003 ZCTA5,us,860,0,ACSSF,13041,100,10003,86000US10003,99418.49,0.5764521,57310,32.3,22.40446693,6.751284212,92540.0,0.5483
3,10004,0.936242687,10010004,10004 ZCTA5,10004 ZCTA5,us,860,0,ACSSF,13042,100,10004,86000US10004,5014.745,0.5597493,2807,33.1,20.16387602,9.260099864,129313.0,0.4942
4,10005,0.983888889,10010005,10005 ZCTA5,10005 ZCTA5,us,860,0,ACSSF,13043,100,10005,86000US10005,92791.04,0.07352003,6822,28.6,25.57900909,3.93982808,124670.0,0.4846
5,10007,0.973774767,10010007,10007 ZCTA5,10007 ZCTA5,us,860,0,ACSSF,13045,100,10007,86000US10007,39918.16,0.1634595,6525,34.0,29.8697318,4.763130793,216037.0,0.5071
6,10009,0.9078130870000001,10010009,10009 ZCTA5,10009 ZCTA5,us,860,0,ACSSF,13046,100,10009,86000US10009,101865.2,0.6165994,62810,36.3,40.23244706,7.145720317,59929.0,0.5238
7,10010,0.953302118,10010010,10010 ZCTA5,10010 ZCTA5,us,860,0,ACSSF,13047,100,10010,86000US10010,78507.05,0.3906655,30670,35.1,28.85555918,8.134736408,97955.0,0.5316
8,10011,0.9460981390000001,10010011,10011 ZCTA5,10011 ZCTA5,us,860,0,ACSSF,13048,100,10011,86000US10011,79233.23,0.6583979999999999,52167,39.7,22.01391684,6.395634379,104238.0,0.5801
9,10012,0.9376608059999999,10010012,10012 ZCTA5,10012 ZCTA5,us,860,0,ACSSF,13049,100,10012,86000US10012,80873.23,0.3232837,26145,34.1,24.6854083,5.115301665,86594.0,0.5297
10,10013,0.885107166,10010013,10013 ZCTA5,10013 ZCTA5,us,860,0,ACSSF,13050,100,10013,86000US10013,47193.77,0.5522975,26065,36.4,43.87876463,6.054741498,83725.0,0.6524
11,10014,0.928509845,10010014,10014 ZCTA5,10014 ZCTA5,us,860,0,ACSSF,13051,100,10014,86000US10014,53727.76,0.5694821,30597,36.7,12.11229859,7.074297903,108483.0,0.5213
12,10016,0.89071617,10010016,10016 ZCTA5,10016 ZCTA5,us,860,0,ACSSF,13052,100,10016,86000US10016,96201.5,0.5321746,51196,32.8,25.10938355,5.424030232,105324.0,0.5124
13,10017,0.961453947,10010017,10017 ZCTA5,10017 ZCTA5,us,860,0,ACSSF,13053,100,10017,86000US10017,50381.49,0.3201374,16129,37.2,23.37404675,4.209495839,100652.0,0.5157
14,10018,0.991699605,10010018,10018 ZCTA5,10018 ZCTA5,us,860,0,ACSSF,13054,100,10018,86000US10018,21819.63,0.32177449999999996,7021,30.9,41.24768551,5.274062912,104635.0,0.4921
15,10019,0.812148348,10010019,10019 ZCTA5,10019 ZCTA5,us,860,0,ACSSF,13055,100,10019,86000US10019,56459.61,0.6800259,38394,38.8,27.38188259,6.761930031,84424.0,0.5531
16,10021,0.47541258799999997,10010021,10021 ZCTA5,10021 ZCTA5,us,860,0,ACSSF,13057,100,10021,86000US10021,105558.0,0.38710490000000003,40862,42.7,11.49968186,4.59909473,107907.0,0.589
17,10022,0.949917905,10010022,10022 ZCTA5,10022 ZCTA5,us,860,0,ACSSF,13058,100,10022,86000US10022,67873.23,0.4363723,29618,45.3,14.70389628,6.518185533,109019.0,0.5847
18,10023,0.949390205,10010023,10023 ZCTA5,10023 ZCTA5,us,860,0,ACSSF,13059,100,10023,86000US10023,125003.2,0.49050730000000003,61315,41.3,17.34812036,6.057834566,103534.0,0.5743
19,10024,0.963331339,10010024,10024 ZCTA5,10024 ZCTA5,us,860,0,ACSSF,13060,100,10024,86000US10024,68967.46,0.8578538,59164,41.8,19.01156108,5.549324211,109956.0,0.5711
20,10025,0.915244618,10010025,10025 ZCTA5,10025 ZCTA5,us,860,0,ACSSF,13061,100,10025,86000US10025,129571.4,0.7516316999999999,97390,38.2,34.27867338,8.671654381,68516.0,0.5748
21,10026,0.8848316970000001,10010026,10026 ZCTA5,10026 ZCTA5,us,860,0,ACSSF,13062,100,10026,86000US10026,113954.1,0.3323355,37871,33.6,76.66552243,8.282258502,43107.0,0.5473
22,10027,0.896109753,10010027,10027 ZCTA5,10027 ZCTA5,us,860,0,ACSSF,13063,100,10027,86000US10027,71852.31,0.8714681000000001,62617,30.7,71.53808071,7.636775426,37872.0,0.579
23,10028,0.8642732259999999,10010028,10028 ZCTA5,10028 ZCTA5,us,860,0,ACSSF,13064,100,10028,86000US10028,140990.3,0.31417059999999997,44295,40.3,10.93351394,5.610514909,104638.0,0.5741
24,10029,0.888763484,10010029,10029 ZCTA5,10029 ZCTA5,us,860,0,ACSSF,13065,100,10029,86000US10029,93874.63,0.8250791,77454,33.5,64.93660753,12.89303035,31888.0,0.5993
