	GISPROPNUM
3	X245
17	R116
20	R139
24	Q479
26	M353
39	M369
51	M062
52	M108A
62	B085
67	M371
74	B398
81	M113A
93	Q441
105	X272A
109	X277A
111	M354
122	B474
133	X179A
137	X164A
140	M073
144	M063
149	X241
152	X290
156	X319
159	X320
163	X316
182	M366
186	X266A
187	M271A
196	X252A
197	X252B
206	X303
207	X296
212	X271A
214	X321
216	M026
225	X322
234	X359
243	X250
257	M382
262	X298
263	X297
267	B255B
268	B223DJ
269	B223DH
270	B223DI
284	B210V
296	Q482
298	X088A
305	M182
310	Q481
324	M208B
339	M327
340	B512
341	B511
360	Q220A
378	M232
406	Q493
407	M374
408	M368
409	M367
410	M363
418	M291
420	M293
421	M296
422	M297
423	M278
424	B490
425	M298
426	M299
431	M306
432	M312
433	M314
434	M316
435	M317
436	M318
437	M320
438	M323
439	M325
440	M326
441	M328
442	M329
443	M330
444	M331
445	M332
446	M334
447	M336
448	M340
449	M341
450	M342
451	M343
452	M344
453	M345
454	M346
455	M347
456	M348
457	M349
458	M350
459	M351
460	M352
461	M356
462	M357
463	M358
464	M361
465	M362
466	M364
467	M365
468	M370
469	M375
470	M380
471	M383
472	M384
476	Q474A
489	B010
490	R003
496	R017A
498	B047A
500	B446
504	R013
514	B112
519	R075D
543	R088
545	R146
567	B223DF
568	B223DE
569	B223DG
571	B515
604	B260A
637	B541
640	X317
659	B471
691	B399
692	B400
695	B408
696	B409
697	B410
698	B411
699	B413
700	B415
701	B416
702	B417
703	B420
704	B421
705	B423
706	B424
707	B427
708	B428
711	B433
712	B434
713	B436
714	B438
715	B439
716	B440
717	B441
718	B442
719	B443
720	B444
721	B445
722	B447
723	B449
724	B450
725	B451
726	B453
727	B454
728	B456
729	B458
730	B460
731	B463
732	B464
733	B465
734	B467
735	B468
736	B469
737	B470
738	B472
739	B473
740	B475
741	B476
742	B477
743	B478
744	B479
745	B480
746	B481
747	B482
748	B483
749	B484
750	B485
751	B487
752	B488
753	B489
754	B491
755	B492
756	B493
757	B494
759	B496
760	B498
761	B499
762	B500
763	B501
764	B503
765	B504
766	B505
767	B507
768	B508
769	B514
770	B517
771	B518
772	B519
773	B520
774	B521
775	B524
776	B526
778	B528
779	B530
780	B531
781	B532
782	B533
783	B535
784	B506
830	MT03
831	MT02
832	MT06
869	B551
870	B047
