Glass,Graffiti,Ice,Litter,Weeds,Inspection_Id
Acceptable,Acceptable,,Acceptable,Acceptable,0
Acceptable,Acceptable,,Acceptable,Acceptable,1
Acceptable,Unacceptable,,Acceptable,Acceptable,2
Acceptable,Acceptable,,Acceptable,Acceptable,3
Acceptable,Acceptable,Acceptable,Acceptable,,4
Acceptable,Acceptable,,Acceptable,Acceptable,5
Acceptable,Acceptable,,Acceptable,Acceptable,6
Acceptable,Acceptable,,Unacceptable,Acceptable,7
Acceptable,Acceptable,,Acceptable,Acceptable,8
Acceptable,Acceptable,,Not Rated,Acceptable,9
Acceptable,Acceptable,,Not Rated,Acceptable,10
Acceptable,Acceptable,,Unacceptable,Unacceptable,11
Acceptable,Acceptable,Acceptable,Unacceptable,,12
Acceptable,Acceptable,,Acceptable,Acceptable,13
Acceptable,Acceptable,,Unacceptable,Acceptable,14
Acceptable,Acceptable,,Not Rated,Acceptable,15
Acceptable,Acceptable,,Not Rated,Acceptable,16
Acceptable,Acceptable,Acceptable,Not Rated,,17
Acceptable,Acceptable,,Not Rated,Acceptable,18
Acceptable,Acceptable,,Acceptable,Acceptable,19
Acceptable,Acceptable,,Acceptable,Acceptable,20
Acceptable,Acceptable,Acceptable,Unacceptable,,21
Acceptable,Acceptable,,Not Rated,Acceptable,22
Acceptable,Acceptable,,Acceptable,Acceptable,23
Acceptable,Acceptable,,Not Rated,Acceptable,24
Acceptable,Acceptable,,Acceptable,Acceptable,25
Acceptable,Acceptable,,Acceptable,Acceptable,26
Acceptable,Unacceptable,,Acceptable,Acceptable,27
Unacceptable,Unacceptable,,Unacceptable,Acceptable,28
Acceptable,Acceptable,,Acceptable,Acceptable,29
Acceptable,Acceptable,Acceptable,Acceptable,,30
Acceptable,Acceptable,,Acceptable,Acceptable,31
Acceptable,Acceptable,,Unacceptable,Acceptable,32
Acceptable,Acceptable,,Acceptable,Acceptable,33
Acceptable,Acceptable,,Acceptable,Acceptable,34
Acceptable,Acceptable,,Unacceptable,Acceptable,35
Acceptable,Acceptable,Acceptable,Not Rated,,36
Acceptable,Acceptable,,Unacceptable,Acceptable,37
Acceptable,Acceptable,,Unacceptable,Acceptable,38
Acceptable,Acceptable,Acceptable,Unacceptable,,39
Acceptable,Acceptable,,Unacceptable,Unacceptable,40
Acceptable,Unacceptable,,Not Rated,Acceptable,41
Acceptable,Unacceptable,,Unacceptable,Acceptable,42
Acceptable,Acceptable,,Acceptable,Unacceptable,43
Unacceptable,Unacceptable,Acceptable,Unacceptable,,44
Acceptable,Acceptable,,Acceptable,Acceptable,45
Acceptable,Acceptable,,Unacceptable,Acceptable,46
Acceptable,Acceptable,,Acceptable,Acceptable,47
Acceptable,Acceptable,,Unacceptable,Acceptable,48
Acceptable,Acceptable,,Unacceptable,Acceptable,49
Acceptable,Not Rated,Acceptable,Not Rated,,50
Acceptable,Acceptable,,Not Rated,Acceptable,51
Acceptable,Acceptable,Acceptable,Unacceptable,,52
Acceptable,Acceptable,,Acceptable,Acceptable,53
Acceptable,Acceptable,,Acceptable,Acceptable,54
Acceptable,Acceptable,Acceptable,Acceptable,,55
Acceptable,Acceptable,,Unacceptable,Unacceptable,56
Acceptable,Unacceptable,Acceptable,Unacceptable,,57
Acceptable,Acceptable,,Not Rated,Acceptable,58
Acceptable,Acceptable,,Acceptable,Acceptable,59
Acceptable,Not Rated,Acceptable,Not Rated,,60
Acceptable,Unacceptable,,Not Rated,Acceptable,61
Acceptable,Acceptable,,Acceptable,Acceptable,62
Acceptable,Acceptable,,Acceptable,Acceptable,63
Acceptable,Acceptable,,Acceptable,Acceptable,64
Acceptable,Acceptable,Acceptable,Acceptable,,65
Acceptable,Acceptable,,Not Rated,Acceptable,66
Acceptable,Acceptable,Acceptable,Unacceptable,,67
Acceptable,Acceptable,,Unacceptable,Unacceptable,68
Acceptable,Acceptable,Acceptable,Unacceptable,,69
Acceptable,Acceptable,,Acceptable,Acceptable,70
Acceptable,Acceptable,,Unacceptable,Acceptable,71
Acceptable,Acceptable,,Acceptable,Acceptable,72
Acceptable,Acceptable,Acceptable,Acceptable,,73
Acceptable,Acceptable,,Acceptable,Acceptable,74
Acceptable,Acceptable,Acceptable,Unacceptable,,75
Acceptable,Acceptable,,Acceptable,Acceptable,76
Acceptable,Acceptable,,Unacceptable,Acceptable,77
Acceptable,Acceptable,,Unacceptable,Acceptable,78
Acceptable,Acceptable,,Unacceptable,Acceptable,79
Acceptable,Acceptable,,Unacceptable,Acceptable,80
Acceptable,Acceptable,,Unacceptable,Acceptable,81
Acceptable,Acceptable,Acceptable,Unacceptable,,82
Acceptable,Acceptable,,Acceptable,Acceptable,83
Acceptable,Acceptable,,Acceptable,Acceptable,84
Acceptable,Acceptable,,Acceptable,Acceptable,85
Acceptable,Acceptable,,Acceptable,Acceptable,86
Acceptable,Acceptable,,Acceptable,Acceptable,87
Acceptable,Acceptable,,Acceptable,Acceptable,88
Acceptable,Acceptable,Acceptable,Acceptable,,89
Acceptable,Acceptable,,Not Rated,Acceptable,90
Acceptable,Acceptable,,Acceptable,Acceptable,91
Acceptable,Acceptable,,Acceptable,Acceptable,92
Acceptable,Acceptable,Acceptable,Acceptable,,93
Acceptable,Acceptable,,Acceptable,Acceptable,94
Acceptable,Acceptable,Acceptable,Acceptable,,95
Acceptable,Acceptable,,Acceptable,Acceptable,96
Acceptable,Acceptable,,Acceptable,Acceptable,97
Acceptable,Acceptable,,Acceptable,Acceptable,98
Acceptable,Acceptable,Acceptable,Acceptable,,99
Acceptable,Acceptable,,Acceptable,Acceptable,100
Acceptable,Acceptable,Acceptable,Unacceptable,,101
Acceptable,Acceptable,,Not Rated,Not Rated,102
Acceptable,Acceptable,Acceptable,Acceptable,,103
Acceptable,Acceptable,,Acceptable,Acceptable,104
Acceptable,Unacceptable,,Unacceptable,Unacceptable,105
Acceptable,Acceptable,,Acceptable,Acceptable,106
Acceptable,Acceptable,,Acceptable,Acceptable,107
Acceptable,Acceptable,,Acceptable,Acceptable,108
Acceptable,Acceptable,,Unacceptable,Acceptable,109
Acceptable,Acceptable,,Acceptable,Acceptable,110
Acceptable,Acceptable,,Unacceptable,Acceptable,111
Acceptable,Unacceptable,,Acceptable,Acceptable,112
Acceptable,Acceptable,Acceptable,Acceptable,,113
Acceptable,Acceptable,,Acceptable,Acceptable,114
Acceptable,Acceptable,,Not Rated,Acceptable,115
Acceptable,Acceptable,,Not Rated,Acceptable,116
Acceptable,Acceptable,,Acceptable,Acceptable,117
Acceptable,Acceptable,,Unacceptable,Unacceptable,118
Acceptable,Acceptable,,Acceptable,Acceptable,119
Acceptable,Acceptable,,Acceptable,Acceptable,120
Acceptable,Acceptable,,Unacceptable,Acceptable,121
Acceptable,Acceptable,,Unacceptable,Acceptable,122
Acceptable,Acceptable,,Acceptable,Acceptable,123
Acceptable,Unacceptable,,Unacceptable,Acceptable,124
Acceptable,Acceptable,,Acceptable,Acceptable,125
Acceptable,Acceptable,,Acceptable,Acceptable,126
Acceptable,Acceptable,,Unacceptable,Acceptable,127
Acceptable,Acceptable,,Unacceptable,Acceptable,128
Acceptable,Acceptable,,Acceptable,Acceptable,129
Acceptable,Acceptable,,Acceptable,Acceptable,130
Acceptable,Acceptable,,Unacceptable,Acceptable,131
Acceptable,Acceptable,Acceptable,Acceptable,,132
Acceptable,Unacceptable,,Acceptable,Acceptable,133
Acceptable,Acceptable,,Unacceptable,Acceptable,134
Acceptable,Acceptable,,Not Rated,Acceptable,135
Acceptable,Acceptable,,Acceptable,Acceptable,136
Acceptable,Unacceptable,,Not Rated,Acceptable,137
Acceptable,Acceptable,,Acceptable,Acceptable,138
Acceptable,Unacceptable,,Unacceptable,Acceptable,139
Acceptable,Acceptable,,Acceptable,Acceptable,140
Acceptable,Unacceptable,,Unacceptable,Unacceptable,141
Acceptable,Unacceptable,,Unacceptable,Acceptable,142
Acceptable,Not Rated,,Not Rated,Acceptable,143
Acceptable,Acceptable,,Acceptable,Acceptable,144
Acceptable,Acceptable,,Acceptable,Acceptable,145
Acceptable,Acceptable,,Acceptable,Acceptable,146
Acceptable,Acceptable,,Acceptable,Acceptable,147
Acceptable,Acceptable,,Acceptable,Acceptable,148
