AthleticFields,HorticulturalAreas,Lawns,Trails,Trees,WaterBodies,Inspection_Id
,,Acceptable,,Acceptable,,0
,,Acceptable,,Acceptable,,1
,,Acceptable,,Acceptable,Acceptable,2
,,Acceptable,,Acceptable,Acceptable,3
,,Acceptable,,Acceptable,,4
,,Acceptable,,Acceptable,,5
,,Acceptable,,Acceptable,,6
Acceptable,Acceptable,Acceptable,,Unacceptable,,7
,,,,Acceptable,,8
,,,,Unacceptable,,9
Acceptable,Acceptable,Acceptable,,Acceptable,,10
Acceptable,Acceptable,Unacceptable,,Unacceptable,,11
Not Rated,,Not Rated,,Acceptable,,12
,,Acceptable,,Acceptable,,13
,,Unacceptable,,Acceptable,,14
Acceptable,Acceptable,Acceptable,,Acceptable,,15
Acceptable,Acceptable,Acceptable,,Acceptable,,16
,,,,Acceptable,,17
,,Acceptable,,Acceptable,,19
,,Acceptable,,Acceptable,,20
,Acceptable,Acceptable,,Unacceptable,,21
,Acceptable,Acceptable,,Acceptable,,22
,,Acceptable,,Acceptable,,23
,,Acceptable,,Acceptable,,24
Acceptable,,Acceptable,,Acceptable,,27
Unacceptable,,Acceptable,,Acceptable,,28
,,,,Acceptable,,29
,,,,Acceptable,,30
,,Acceptable,,Acceptable,,31
Acceptable,Acceptable,Acceptable,,Acceptable,,32
Acceptable,Acceptable,Acceptable,,Unacceptable,,33
Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,34
Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,,35
,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,36
,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,37
,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,38
Acceptable,,Acceptable,,Acceptable,,39
Unacceptable,,Unacceptable,,Acceptable,,40
,,Acceptable,,Acceptable,,41
,,Acceptable,,Acceptable,,42
Acceptable,,Acceptable,,Unacceptable,,43
Acceptable,,Acceptable,,Acceptable,,44
,,,,Acceptable,,45
,,Acceptable,,Acceptable,,46
,,Acceptable,,Acceptable,,47
,,Acceptable,,Acceptable,,48
,,Acceptable,,Acceptable,,49
,Acceptable,Acceptable,,Acceptable,,50
,Acceptable,Acceptable,,Unacceptable,,51
,,Acceptable,,Acceptable,,52
,,,,Acceptable,,53
,,,,Acceptable,,54
,,Acceptable,,Acceptable,,55
,,Acceptable,,Unacceptable,,56
,,Acceptable,,Acceptable,,57
,,,,Acceptable,,58
,,,,Acceptable,,59
,,Acceptable,,Acceptable,,60
,,Acceptable,,Unacceptable,,61
,Acceptable,,,Acceptable,Acceptable,62
,Acceptable,,,Acceptable,Acceptable,63
,Acceptable,,,Unacceptable,,64
Acceptable,Acceptable,Acceptable,,Unacceptable,,65
Acceptable,Acceptable,Not Rated,,Acceptable,,66
Unacceptable,Acceptable,Acceptable,,Acceptable,,67
Unacceptable,Acceptable,Acceptable,,Acceptable,,68
Unacceptable,Acceptable,Acceptable,,Acceptable,,69
,,Acceptable,,Acceptable,,70
,,Acceptable,,Acceptable,,71
,,Unacceptable,,Acceptable,,72
,,Acceptable,,Acceptable,,73
,,Acceptable,,Acceptable,,74
,,Acceptable,,Acceptable,,75
,,Acceptable,,Acceptable,,76
,,Acceptable,,Acceptable,,77
,,Unacceptable,,Acceptable,,78
,,Acceptable,,Acceptable,,79
,,Acceptable,,Acceptable,,80
,,Acceptable,,Acceptable,,81
,,Acceptable,,Acceptable,,82
,,Acceptable,,Acceptable,,83
,,Acceptable,,Acceptable,,84
,,Acceptable,,Unacceptable,,85
,,Acceptable,,Unacceptable,,86
,,Acceptable,,,,87
,,Acceptable,,,,88
,Acceptable,Unacceptable,,Acceptable,,89
,Acceptable,Acceptable,,Acceptable,,90
,Acceptable,Acceptable,,Acceptable,,91
