GEOID,NameofArea,QualifyingName,AbbreviationUSPS,SummaryLevel,GeographicComponent,FileIdentification,LogicalRecordNumber,ZipCode3,ZipCode5,GeographicIdentifier,PopulationDensity,AreaLand,TotalPopulation,Median Age,MinorityPercentage,PercentageUnemoployment,MedianhouseholdIncome,HouseholdsGiniIndex
10010001,10001 ZCTA5,10001 ZCTA5,us,860,0,ACSSF,13039,100,10001,86000US10001,35349.6,0.6213932,21966,34.7,36.52462897,9.099149352,81671,0.6121
10010002,10002 ZCTA5,10002 ZCTA5,us,860,0,ACSSF,13040,100,10002,86000US10002,93461.17,0.8794134,82191,39.8,68.91995474,11.62639452,33218,0.5622
10010003,10003 ZCTA5,10003 ZCTA5,us,860,0,ACSSF,13041,100,10003,86000US10003,99418.49,0.5764521,57310,32.3,22.40446693,6.751284212,92540,0.5483
10010004,10004 ZCTA5,10004 ZCTA5,us,860,0,ACSSF,13042,100,10004,86000US10004,5014.745,0.5597493,2807,33.1,20.16387602,9.260099864,129313,0.4942
10010005,10005 ZCTA5,10005 ZCTA5,us,860,0,ACSSF,13043,100,10005,86000US10005,92791.04,0.07352003,6822,28.6,25.57900909,3.93982808,124670,0.4846
10010006,10006 ZCTA5,10006 ZCTA5,us,860,0,ACSSF,13044,100,10006,86000US10006,27306.71,0.09180892,2507,31.3,29.83645792,8.405270332,119274,0.4615
10010007,10007 ZCTA5,10007 ZCTA5,us,860,0,ACSSF,13045,100,10007,86000US10007,39918.16,0.1634595,6525,34,29.8697318,4.763130793,216037,0.5071
10010009,10009 ZCTA5,10009 ZCTA5,us,860,0,ACSSF,13046,100,10009,86000US10009,101865.2,0.6165994,62810,36.3,40.23244706,7.145720317,59929,0.5238
10010010,10010 ZCTA5,10010 ZCTA5,us,860,0,ACSSF,13047,100,10010,86000US10010,78507.05,0.3906655,30670,35.1,28.85555918,8.134736408,97955,0.5316
10010011,10011 ZCTA5,10011 ZCTA5,us,860,0,ACSSF,13048,100,10011,86000US10011,79233.23,0.658398,52167,39.7,22.01391684,6.395634379,104238,0.5801
